 time            time            v(gate_rc)      id             
 1.98095408e-12  1.98095408e-12  2.37534755e-01  3.13467801e-04 
 2.03659089e-12  2.03659089e-12  2.43422048e-01  3.08954146e-04 
 2.09268614e-12  2.09268614e-12  2.49308422e-01  3.04068508e-04 
 2.14993527e-12  2.14993527e-12  2.55265068e-01  2.98690740e-04 
 2.20770300e-12  2.20770300e-12  2.61223956e-01  2.92813816e-04 
 2.26647403e-12  2.26647403e-12  2.67233262e-01  2.86315002e-04 
 2.32577778e-12  2.32577778e-12  2.73242929e-01  2.79165319e-04 
 2.38594254e-12  2.38594254e-12  2.79284359e-01  2.71237551e-04 
 2.44661065e-12  2.44661065e-12  2.85319669e-01  2.62484079e-04 
 2.50799139e-12  2.50799139e-12  2.91367745e-01  2.52774593e-04 
 2.56980134e-12  2.56980134e-12  2.97398639e-01  2.42048744e-04 
 2.63215730e-12  2.63215730e-12  3.03421735e-01  2.30178781e-04 
 2.69482346e-12  2.69482346e-12  3.09412166e-01  2.17101195e-04 
 2.75784674e-12  2.75784674e-12  3.15372334e-01  2.02700671e-04 
 2.82102574e-12  2.82102574e-12  3.21281061e-01  1.86922891e-04 
 2.88436243e-12  2.88436243e-12  3.27136430e-01  1.69676427e-04 
 2.94769092e-12  2.94769092e-12  3.32921012e-01  1.50927273e-04 
 3.01099781e-12  3.01099781e-12  3.38631570e-01  1.30615373e-04 
 3.07416414e-12  3.07416414e-12  3.44255442e-01  1.08731119e-04 
 3.13719063e-12  3.13719063e-12  3.49790902e-01  8.52440877e-05 
 3.20001744e-12  3.20001744e-12  3.55231051e-01  6.01630366e-05 
 3.26268004e-12  3.26268004e-12  3.60577498e-01  3.34759886e-05 
 3.32518150e-12  3.32518150e-12  3.65829218e-01  5.19686461e-06 
 3.38759862e-12  3.38759862e-12  3.70991559e-01  2.46831216e-05 
 3.44999034e-12  3.44999034e-12  3.76068450e-01  5.61586956e-05 
 3.51246966e-12  3.51246966e-12  3.81068284e-01  8.92483661e-05 
 3.57513760e-12  3.57513760e-12  3.85998458e-01  1.23964887e-04 
 3.63384707e-12  3.63384707e-12  3.90540579e-01  1.57823926e-04 
 3.69068147e-12  3.69068147e-12  3.94867987e-01  1.91768160e-04 
 3.75202590e-12  3.75202590e-12  3.99463770e-01  2.29607315e-04 
