 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  4.32060858e-07  6.39790211e-08 
 1.00000000e-14  1.00000000e-14  3.41218886e-04  4.29188911e-06 
 1.00240743e-14  1.00240743e-14  3.42039473e-04  4.30234407e-06 
 1.00722228e-14  1.00722228e-14  3.43681052e-04  4.32330682e-06 
 1.01685199e-14  1.01685199e-14  3.46966151e-04  4.36520779e-06 
 1.03611141e-14  1.03611141e-14  3.53544355e-04  4.44891327e-06 
 1.07463025e-14  1.07463025e-14  3.66732913e-04  4.61597689e-06 
 1.15166792e-14  1.15166792e-14  3.93238302e-04  4.94895843e-06 
 1.30574327e-14  1.30574327e-14  4.46759924e-04  5.61151612e-06 
 1.61389397e-14  1.61389397e-14  5.55838350e-04  6.92717443e-06 
 2.23019536e-14  2.23019536e-14  7.82113022e-04  9.53192292e-06 
 3.46279815e-14  3.46279815e-14  1.26704558e-03  1.46681749e-05 
 5.17011772e-14  5.17011772e-14  2.00981735e-03  2.16768590e-05 
 6.87415599e-14  6.87415599e-14  2.83314493e-03  2.85921900e-05 
 8.67306590e-14  8.67306590e-14  3.79076391e-03  3.58349669e-05 
 1.06410290e-13  1.06410290e-13  4.94189041e-03  4.37075810e-05 
 1.24866552e-13  1.24866552e-13  6.11923077e-03  5.10482691e-05 
 1.44464385e-13  1.44464385e-13  7.47239830e-03  5.88007559e-05 
 1.63035326e-13  1.63035326e-13  8.85201599e-03  6.61068759e-05 
 1.82461369e-13  1.82461369e-13  1.03959291e-02  7.37078857e-05 
 2.01186585e-13  2.01186585e-13  1.19810943e-02  8.09938187e-05 
 2.20557665e-13  2.20557665e-13  1.37204591e-02  8.84889204e-05 
 2.39448703e-13  2.39448703e-13  1.55135913e-02  9.57564008e-05 
 2.58819557e-13  2.58819557e-13  1.74509501e-02  1.03165586e-04 
 2.77860153e-13  2.77860153e-13  1.94520182e-02  1.10405628e-04 
 2.97258172e-13  2.97258172e-13  2.15886031e-02  1.17737983e-04 
 3.16432875e-13  3.16432875e-13  2.37970867e-02  1.24942292e-04 
 3.35877838e-13  3.35877838e-13  2.61339781e-02  1.32203919e-04 
 3.55176955e-13  3.55176955e-13  2.85495083e-02  1.39366775e-04 
 3.74684598e-13  3.74684598e-13  3.10877844e-02  1.46562283e-04 
 3.94102574e-13  3.94102574e-13  3.37101703e-02  1.53679898e-04 
 4.13685393e-13  4.13685393e-13  3.64508565e-02  1.60812811e-04 
 4.33219360e-13  4.33219360e-13  3.92800473e-02  1.67882764e-04 
 4.52887358e-13  4.52887358e-13  4.22240970e-02  1.74955879e-04 
 4.72536275e-13  4.72536275e-13  4.52601614e-02  1.81976798e-04 
 4.92297606e-13  4.92297606e-13  4.84084595e-02  1.88992485e-04 
 5.12061678e-13  5.12061678e-13  5.16515676e-02  1.95963834e-04 
 5.31923101e-13  5.31923101e-13  5.50049363e-02  2.02924257e-04 
 5.51803348e-13  5.51803348e-13  5.84553382e-02  2.09846179e-04 
 5.71770537e-13  5.71770537e-13  6.20145406e-02  2.16753432e-04 
 5.91768465e-13  5.91768465e-13  6.56725442e-02  2.23626627e-04 
 6.11846213e-13  6.11846213e-13  6.94382852e-02  2.30482818e-04 
 6.31963570e-13  6.31963570e-13  7.33042335e-02  2.37308426e-04 
 6.52155924e-13  6.52155924e-13  7.72771581e-02  2.44115704e-04 
 6.72394516e-13  6.72394516e-13  8.13514077e-02  2.50895183e-04 
 6.92704873e-13  6.92704873e-13  8.55320977e-02  2.57655705e-04 
 7.13066430e-13  7.13066430e-13  8.98149999e-02  2.64390690e-04 
 7.33497606e-13  7.33497606e-13  9.42039711e-02  2.71106523e-04 
 7.53983696e-13  7.53983696e-13  9.86958559e-02  2.77798626e-04 
 7.74537988e-13  7.74537988e-13  1.03293556e-01  2.84471575e-04 
 7.95149970e-13  7.95149970e-13  1.07994722e-01  2.91122121e-04 
 8.15829231e-13  8.15829231e-13  1.12801534e-01  2.97753444e-04 
 8.36568260e-13  8.36568260e-13  1.17712246e-01  3.04363094e-04 
 8.57373991e-13  8.57373991e-13  1.22728497e-01  3.10953086e-04 
 8.78241077e-13  8.78241077e-13  1.27848997e-01  3.17521318e-04 
 8.99174565e-13  8.99174565e-13  1.33074982e-01  3.24068712e-04 
 9.20170699e-13  9.20170699e-13  1.38405512e-01  3.30593090e-04 
 9.41233218e-13  9.41233218e-13  1.43841533e-01  3.37094206e-04 
 9.62359579e-13  9.62359579e-13  1.49382386e-01  3.43569363e-04 
 9.83552678e-13  9.83552678e-13  1.55028822e-01  3.50016926e-04 
 1.00000000e-12  1.00000000e-12  1.59471145e-01  3.54987083e-04 
 1.00017096e-12  1.00017096e-12  1.59512261e-01  3.54964371e-04 
 1.00051287e-12  1.00051287e-12  1.59594486e-01  3.54912958e-04 
 1.00119670e-12  1.00119670e-12  1.59758901e-01  3.54816528e-04 
 1.00256437e-12  1.00256437e-12  1.60087609e-01  3.54634113e-04 
 1.00529969e-12  1.00529969e-12  1.60744565e-01  3.54289593e-04 
 1.01077033e-12  1.01077033e-12  1.62056731e-01  3.53635178e-04 
 1.01964422e-12  1.01964422e-12  1.64180305e-01  3.52626688e-04 
 1.03439017e-12  1.03439017e-12  1.67695851e-01  3.51035816e-04 
 1.05070033e-12  1.05070033e-12  1.71565218e-01  3.49345265e-04 
 1.06923393e-12  1.06923393e-12  1.75937962e-01  3.47459615e-04 
 1.08947585e-12  1.08947585e-12  1.80684773e-01  3.45406508e-04 
 1.11293851e-12  1.11293851e-12  1.86149419e-01  3.43008009e-04 
 1.14043722e-12  1.14043722e-12  1.92503549e-01  3.40150328e-04 
 1.17091770e-12  1.17091770e-12  1.99483747e-01  3.36903897e-04 
 1.20038207e-12  1.20038207e-12  2.06169133e-01  3.33667269e-04 
 1.23122062e-12  1.23122062e-12  2.13101683e-01  3.30147523e-04 
 1.26089296e-12  1.26089296e-12  2.19710306e-01  3.26609549e-04 
 1.29155535e-12  1.29155535e-12  2.26476377e-01  3.22766967e-04 
 1.32144059e-12  1.32144059e-12  2.33009747e-01  3.18810896e-04 
 1.35209035e-12  1.35209035e-12  2.39647860e-01  3.14503171e-04 
 1.38220723e-12  1.38220723e-12  2.46109269e-01  3.09989800e-04 
 1.41287221e-12  1.41287221e-12  2.52625977e-01  3.05070362e-04 
 1.44313861e-12  1.44313861e-12  2.58996335e-01  2.99856271e-04 
 1.47376648e-12  1.47376648e-12  2.65380259e-01  2.94175677e-04 
 1.50406821e-12  1.50406821e-12  2.71633973e-01  2.88114063e-04 
 1.53457349e-12  1.53457349e-12  2.77866625e-01  2.81524799e-04 
 1.56487650e-12  1.56487650e-12  2.83994535e-01  2.74452839e-04 
 1.59559731e-12  1.59559731e-12  2.90141410e-01  2.66703902e-04 
 1.62620609e-12  1.62620609e-12  2.96198984e-01  2.58360663e-04 
 1.65710033e-12  1.65710033e-12  3.02243801e-01  2.49267686e-04 
 1.68786051e-12  1.68786051e-12  3.08191463e-01  2.39505090e-04 
 1.71875452e-12  1.71875452e-12  3.14091721e-01  2.28952625e-04 
 1.74948488e-12  1.74948488e-12  3.19885658e-01  2.17683035e-04 
