 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  8.64985456e-07  5.62527176e-09 
 1.00000000e-14  1.00000000e-14  2.38515474e-04  4.17932388e-06 
 1.00820190e-14  1.00820190e-14  2.40465555e-04  4.21359630e-06 
 1.02460571e-14  1.02460571e-14  2.44367865e-04  4.28207033e-06 
 1.05741332e-14  1.05741332e-14  2.52182735e-04  4.41857238e-06 
 1.12302854e-14  1.12302854e-14  2.67854421e-04  4.68980445e-06 
 1.25425898e-14  1.25425898e-14  2.99363556e-04  5.22567388e-06 
 1.51671986e-14  1.51671986e-14  3.63025372e-04  6.27459009e-06 
 2.04164163e-14  2.04164163e-14  4.92812256e-04  8.30150786e-06 
 3.09148517e-14  3.09148517e-14  7.61775800e-04  1.21637714e-05 
 4.28026330e-14  4.28026330e-14  1.08100753e-03  1.63297833e-05 
 5.68132527e-14  5.68132527e-14  1.47691405e-03  2.10540262e-05 
 7.10395651e-14  7.10395651e-14  1.90052799e-03  2.57086519e-05 
 8.67946837e-14  8.67946837e-14  2.39497429e-03  3.07470047e-05 
 1.01946574e-13  1.01946574e-13  2.89551101e-03  3.55094456e-05 
 1.18816368e-13  1.18816368e-13  3.48158205e-03  4.07447263e-05 
 1.35813324e-13  1.35813324e-13  4.10266503e-03  4.59681416e-05 
 1.54837588e-13  1.54837588e-13  4.83415437e-03  5.17711424e-05 
 1.74620071e-13  1.74620071e-13  5.63539139e-03  5.77695365e-05 
 1.96779970e-13  1.96779970e-13  6.58193738e-03  6.44562620e-05 
 2.20404366e-13  2.20404366e-13  7.64793104e-03  7.15550096e-05 
 2.47037307e-13  2.47037307e-13  8.91987889e-03  7.95276365e-05 
 2.76176916e-13  2.76176916e-13  1.03965152e-02  8.82191408e-05 
 3.09499127e-13  3.09499127e-13  1.21935514e-02  9.81224257e-05 
 3.47062301e-13  3.47062301e-13  1.43574979e-02  1.09243851e-04 
 3.88073767e-13  3.88073767e-13  1.68866229e-02  1.21337773e-04 
 4.27765412e-13  4.27765412e-13  1.94991436e-02  1.32995593e-04 
 4.69089013e-13  4.69089013e-13  2.23904724e-02  1.45086434e-04 
 5.09026703e-13  5.09026703e-13  2.53501721e-02  1.56727047e-04 
 5.50182244e-13  5.50182244e-13  2.85692919e-02  1.68678386e-04 
 5.90464336e-13  5.90464336e-13  3.18855276e-02  1.80332637e-04 
 6.31738079e-13  6.31738079e-13  3.54522630e-02  1.92230763e-04 
 6.72481872e-13  6.72481872e-13  3.91399510e-02  2.03933736e-04 
 7.14015795e-13  7.14015795e-13  4.30687449e-02  2.15821915e-04 
 7.55241945e-13  7.55241945e-13  4.71368145e-02  2.27581038e-04 
 7.97105451e-13  7.97105451e-13  5.14384802e-02  2.39481943e-04 
 8.38821206e-13  8.38821206e-13  5.58950901e-02  2.51301895e-04 
 8.81069339e-13  8.81069339e-13  6.05806571e-02  2.63235059e-04 
 9.23289920e-13  9.23289920e-13  6.54351530e-02  2.75124259e-04 
 9.65973096e-13  9.65973096e-13  7.05165564e-02  2.87109305e-04 
