 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 5.50000000e-01  5.50000000e-01  7.00000000e-01 -3.45522913e-03  3.45523306e-03  7.24932350e-10 -4.64887741e-09  9.98796808e-19 
 6.00000000e-01  6.00000000e-01  7.00000000e-01 -3.57372232e-03  3.57372625e-03  7.79431601e-10 -4.71653607e-09  1.36750119e-19 
 6.50000000e-01  6.50000000e-01  7.00000000e-01 -3.69185848e-03  3.69186243e-03  8.37798716e-10 -4.79404869e-09  1.32327857e-18 
 7.00000000e-01  7.00000000e-01  7.00000000e-01 -3.81018372e-03  3.81018769e-03  9.00286902e-10 -4.88010310e-09  1.38815858e-18 
 7.50000000e-01  7.50000000e-01  7.00000000e-01 -3.92902258e-03  3.92902659e-03  9.67166742e-10 -4.97021307e-09  1.84311143e-18 
 8.00000000e-01  8.00000000e-01  7.00000000e-01 -4.04857923e-03  4.04858325e-03  1.03872664e-09 -5.06109030e-09  9.63657142e-19 
 8.50000000e-01  8.50000000e-01  7.00000000e-01 -4.16899361e-03  4.16899764e-03  1.11527356e-09 -5.15152382e-09  7.32322849e-19 
 9.00000000e-01  9.00000000e-01  7.00000000e-01 -4.29037865e-03  4.29038269e-03  1.19713393e-09 -5.24001234e-09  4.79499644e-19 
 9.50000000e-01  9.50000000e-01  7.00000000e-01 -4.41284968e-03  4.41285372e-03  1.28465462e-09 -5.32467425e-09  5.67000050e-19 
 1.00000000e+00  1.00000000e+00  7.00000000e-01 -4.53655020e-03  4.53655423e-03  1.37820412e-09 -5.40316514e-09  3.15183214e-18 
 1.05000000e+00  1.05000000e+00  7.00000000e-01 -4.66167511e-03  4.66167911e-03  1.47817363e-09 -5.47258279e-09  1.21114131e-18 
 1.10000000e+00  1.10000000e+00  7.00000000e-01 -4.78849066e-03  4.78849461e-03  1.58497837e-09 -5.52935615e-09  1.92439744e-18 
 1.15000000e+00  1.15000000e+00  7.00000000e-01 -4.91735066e-03  4.91735453e-03  1.69905882e-09 -5.56911563e-09  3.81321784e-18 
 1.20000000e+00  1.20000000e+00  7.00000000e-01 -5.04870829e-03  5.04871205e-03  1.82088215e-09 -5.58654093e-09  9.55021790e-19 
 0.00000000e+00  0.00000000e+00  8.00000000e-01  4.68356364e-09  4.68356381e-09  1.36631574e-09 -1.07334432e-08  8.16189657e-19 
 5.00000000e-02  5.00000000e-02  8.00000000e-01 -7.99748480e-04  7.99757314e-04  1.46671986e-09 -1.03012564e-08  1.53874205e-19 
 1.00000000e-01  1.00000000e-01  8.00000000e-01 -1.50773434e-03  1.50774273e-03  1.57421072e-09 -9.95742511e-09  1.21220465e-18 
 1.50000000e-01  1.50000000e-01  8.00000000e-01 -2.12706054e-03  2.12706855e-03  1.68927210e-09 -9.70365947e-09  4.09625009e-18 
 2.00000000e-01  2.00000000e-01  8.00000000e-01 -2.66024803e-03  2.66025574e-03  1.81242157e-09 -9.52637296e-09  1.69453118e-19 
 2.50000000e-01  2.50000000e-01  8.00000000e-01 -3.10905476e-03  3.10906223e-03  1.94422189e-09 -9.41662194e-09  1.58764663e-18 
 3.00000000e-01  3.00000000e-01  8.00000000e-01 -3.47476918e-03  3.47477646e-03  2.08529544e-09 -9.36931973e-09  2.10600184e-19 
 3.50000000e-01  3.50000000e-01  8.00000000e-01 -3.76106221e-03  3.76106935e-03  2.23632888e-09 -9.38265986e-09  1.94390918e-18 
 4.00000000e-01  4.00000000e-01  8.00000000e-01 -3.98082797e-03  3.98083502e-03  2.39802629e-09 -9.45414364e-09  5.32858211e-18 
 4.50000000e-01  4.50000000e-01  8.00000000e-01 -4.15647572e-03  4.15648273e-03  2.57104445e-09 -9.57618353e-09  9.42729886e-19 
 5.00000000e-01  5.00000000e-01  8.00000000e-01 -4.30812890e-03  4.30813588e-03  2.75602914e-09 -9.73912508e-09  8.14299342e-19 
 5.50000000e-01  5.50000000e-01  8.00000000e-01 -4.44764882e-03  4.44765580e-03  2.95367990e-09 -9.93554277e-09  6.91178471e-19 
 6.00000000e-01  6.00000000e-01  8.00000000e-01 -4.58100327e-03  4.58101026e-03  3.16476410e-09 -1.01606520e-08  4.60531152e-19 
 6.50000000e-01  6.50000000e-01  8.00000000e-01 -4.71119152e-03  4.71119854e-03  3.39011079e-09 -1.04114390e-08  6.21313556e-19 
 7.00000000e-01  7.00000000e-01  8.00000000e-01 -4.83980532e-03  4.83981238e-03  3.63060587e-09 -1.06860052e-08  7.75009504e-19 
 7.50000000e-01  7.50000000e-01  8.00000000e-01 -4.96774463e-03  4.96775172e-03  3.88719075e-09 -1.09832010e-08  1.69761284e-18 
 8.00000000e-01  8.00000000e-01  8.00000000e-01 -5.09554870e-03  5.09555584e-03  4.16086278e-09 -1.13023725e-08  1.93410957e-18 
 8.50000000e-01  8.50000000e-01  8.00000000e-01 -5.22355909e-03  5.22356628e-03  4.45267685e-09 -1.16397600e-08  1.11208643e-18 
 9.00000000e-01  9.00000000e-01  8.00000000e-01 -5.35200819e-03  5.35201542e-03  4.76374744e-09 -1.19928620e-08  2.47722644e-18 
 9.50000000e-01  9.50000000e-01  8.00000000e-01 -5.48107502e-03  5.48108229e-03  5.09525094e-09 -1.23613097e-08  1.07804464e-18 
 1.00000000e+00  1.00000000e+00  8.00000000e-01 -5.61092678e-03  5.61093407e-03  5.44842821e-09 -1.27444975e-08  3.23265161e-18 
 1.05000000e+00  1.05000000e+00  8.00000000e-01 -5.74175380e-03  5.74176111e-03  5.82458721e-09 -1.31414914e-08  2.25105623e-19 
 1.10000000e+00  1.10000000e+00  8.00000000e-01 -5.87380002e-03  5.87380735e-03  6.22510578e-09 -1.35509472e-08  4.85642204e-18 
 1.15000000e+00  1.15000000e+00  8.00000000e-01 -6.00738896e-03  6.00739628e-03  6.65143439e-09 -1.39710153e-08  3.38058790e-19 
 1.20000000e+00  1.20000000e+00  8.00000000e-01 -6.14294427e-03  6.14295156e-03  7.10509905e-09 -1.43992311e-08  2.84576187e-18 
 0.00000000e+00  0.00000000e+00  9.00000000e-01  7.78731584e-09  7.78731648e-09  5.32736629e-09 -2.09019986e-08  1.86689701e-19 
 5.00000000e-02  5.00000000e-02  9.00000000e-01 -8.72327406e-04  8.72342166e-04  5.70172379e-09 -2.04615456e-08  2.24120534e-18 
 1.00000000e-01  1.00000000e-01  9.00000000e-01 -1.66109592e-03  1.66110998e-03  6.10094578e-09 -2.01595274e-08  2.90260986e-18 
 1.50000000e-01  1.50000000e-01  9.00000000e-01 -2.36876875e-03  2.36878222e-03  6.52656730e-09 -2.00041343e-08  4.29549929e-19 
 2.00000000e-01  2.00000000e-01  9.00000000e-01 -2.99744772e-03  2.99746072e-03  6.98020724e-09 -1.99758811e-08  8.48267101e-19 
 2.50000000e-01  2.50000000e-01  9.00000000e-01 -3.54871206e-03  3.54872466e-03  7.46357774e-09 -2.00615963e-08  1.10587100e-18 
 3.00000000e-01  3.00000000e-01  9.00000000e-01 -4.02340646e-03  4.02341873e-03  7.97849544e-09 -2.02525393e-08  1.95432173e-18 
 3.50000000e-01  3.50000000e-01  9.00000000e-01 -4.42166263e-03  4.42167465e-03  8.52689667e-09 -2.05446008e-08  1.23770208e-18 
 4.00000000e-01  4.00000000e-01  9.00000000e-01 -4.74452909e-03  4.74454092e-03  9.11084700e-09 -2.09381208e-08  1.74677881e-18 
 4.50000000e-01  4.50000000e-01  9.00000000e-01 -4.99922201e-03  4.99923371e-03  9.73250901e-09 -2.14338914e-08  1.35649183e-18 
 5.00000000e-01  5.00000000e-01  9.00000000e-01 -5.20283448e-03  5.20284611e-03  1.03940710e-08 -2.20262951e-08  7.39183485e-19 
 5.50000000e-01  5.50000000e-01  9.00000000e-01 -5.37516588e-03  5.37517749e-03  1.10977511e-08 -2.27042076e-08  3.04121886e-18 
 6.00000000e-01  6.00000000e-01  9.00000000e-01 -5.53032002e-03  5.53033164e-03  1.18458705e-08 -2.34576949e-08  8.22285358e-19 
 6.50000000e-01  6.50000000e-01  9.00000000e-01 -5.67620405e-03  5.67621569e-03  1.26408895e-08 -2.42805314e-08  2.84345486e-18 
 7.00000000e-01  7.00000000e-01  9.00000000e-01 -5.81699655e-03  5.81700823e-03  1.34854074e-08 -2.51694509e-08  2.29532859e-18 
 7.50000000e-01  7.50000000e-01  9.00000000e-01 -5.95496147e-03  5.95497321e-03  1.43821575e-08 -2.61231011e-08  4.06534456e-18 
 8.00000000e-01  8.00000000e-01  9.00000000e-01 -6.09138903e-03  6.09140084e-03  1.53340050e-08 -2.71413805e-08  5.05820945e-18 
 8.50000000e-01  8.50000000e-01  9.00000000e-01 -6.22705459e-03  6.22706647e-03  1.63439474e-08 -2.82250642e-08  3.95829084e-19 
 9.00000000e-01  9.00000000e-01  9.00000000e-01 -6.36244888e-03  6.36246084e-03  1.74151161e-08 -2.93755396e-08  8.77916563e-19 
 9.50000000e-01  9.50000000e-01  9.00000000e-01 -6.49790253e-03  6.49791457e-03  1.85507793e-08 -3.05911938e-08  2.31314441e-18 
