 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.34145816e-09  1.34145816e-09  4.31188226e-12 -2.68722819e-09  1.64508740e-18 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -1.19066588e-03  1.19066836e-03  4.75292138e-12 -2.47770157e-09  2.18372418e-18 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -2.00079342e-03  2.00079573e-03  5.34428294e-12 -2.31055510e-09  3.22910375e-18 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -2.49163512e-03  2.49163730e-03  6.21404823e-12 -2.18450425e-09  7.28379415e-19 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -2.77045486e-03  2.77045695e-03  7.44551619e-12 -2.09387276e-09  2.36601196e-18 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -2.95865126e-03  2.95865328e-03  8.96136782e-12 -2.03043714e-09  2.85147552e-19 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -3.11486154e-03  3.11486352e-03  1.06820739e-11 -1.98730784e-09  2.33729418e-18 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -3.25867494e-03  3.25867688e-03  1.25769844e-11 -1.95977656e-09  2.43175949e-18 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -3.39705895e-03  3.39706088e-03  1.46378494e-11 -1.94438670e-09  3.79965350e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -3.53290819e-03  3.53291012e-03  1.68649666e-11 -1.93844743e-09  2.93227001e-18 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -3.66759301e-03  3.66759493e-03  1.92623564e-11 -1.93981513e-09  8.40033028e-19 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -3.80182713e-03  3.80182905e-03  2.18360148e-11 -1.94677229e-09  8.29370321e-19 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -3.93600870e-03  3.93601064e-03  2.45932268e-11 -1.95789681e-09  1.75533467e-18 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -4.07037271e-03  4.07037465e-03  2.75422885e-11 -1.96852218e-09  6.23449734e-19 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -4.20506919e-03  4.20507113e-03  3.06924033e-11 -1.97513260e-09  1.01657907e-18 
 7.50000000e-01  7.50000000e-01  6.00000000e-01 -4.34021090e-03  4.34021284e-03  3.40536612e-11 -1.97625410e-09  3.70759445e-18 
 8.00000000e-01  8.00000000e-01  6.00000000e-01 -4.47590836e-03  4.47591030e-03  3.76370624e-11 -1.97009286e-09  5.71447393e-19 
 8.50000000e-01  8.50000000e-01  6.00000000e-01 -4.61229906e-03  4.61230098e-03  4.14545682e-11 -1.95444816e-09  9.91872751e-19 
 9.00000000e-01  9.00000000e-01  6.00000000e-01 -4.74957279e-03  4.74957467e-03  4.55191682e-11 -1.92663126e-09  1.79869956e-18 
 9.50000000e-01  9.50000000e-01  6.00000000e-01 -4.88799320e-03  4.88799503e-03  4.98449628e-11 -1.88337072e-09  2.13455915e-18 
 1.00000000e+00  1.00000000e+00  6.00000000e-01 -5.02791489e-03  5.02791665e-03  5.44472558e-11 -1.82070135e-09  3.36274154e-18 
