 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.31513214e-09  1.31513214e-09  3.08893164e-13 -2.63057317e-09  1.13986606e-19 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -2.02462652e-03  2.02462894e-03  4.58939338e-13 -2.42252942e-09  8.95284771e-19 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -3.05295227e-03  3.05295453e-03  9.50668762e-13 -2.25982629e-09  3.98994454e-19 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -3.49763840e-03  3.49764054e-03  1.91651743e-12 -2.14037016e-09  2.74292538e-18 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -3.73551767e-03  3.73551972e-03  3.18677089e-12 -2.05362292e-09  2.70805475e-19 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -3.91242616e-03  3.91242815e-03  4.62586423e-12 -1.99139324e-09  2.90204321e-18 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -4.06735969e-03  4.06736163e-03  6.18880108e-12 -1.94826371e-09  1.60732689e-18 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -4.21259440e-03  4.21259631e-03  7.86075721e-12 -1.92018913e-09  1.71316370e-18 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -4.35293494e-03  4.35293684e-03  9.63637195e-12 -1.90396306e-09  4.81843506e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -4.49059316e-03  4.49059504e-03  1.15137985e-11 -1.89699675e-09  1.78903159e-18 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -4.62671226e-03  4.62671414e-03  1.34927297e-11 -1.89719187e-09  5.04253916e-18 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -4.76193570e-03  4.76193759e-03  1.55736398e-11 -1.90285151e-09  1.50132478e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -4.89665213e-03  4.89665403e-03  1.77574613e-11 -1.91256224e-09  2.58925610e-18 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -5.03111615e-03  5.03111806e-03  2.00454357e-11 -1.92165975e-09  1.58841240e-18 
