 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.36819057e-09  1.36819057e-09  2.95634277e-11 -2.76594457e-09  9.39236256e-19 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -7.21610903e-04  7.21613429e-04  3.19447764e-11 -2.55756105e-09  2.17270782e-19 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -1.28000854e-03  1.28001090e-03  3.45628724e-11 -2.39046686e-09  7.46834052e-19 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -1.68726208e-03  1.68726430e-03  3.74804553e-11 -2.26211868e-09  1.20768108e-18 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -1.96210983e-03  1.96211196e-03  4.07930410e-11 -2.16783562e-09  1.92332013e-18 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -2.14637669e-03  2.14637875e-03  4.45674148e-11 -2.10296018e-09  9.56600490e-19 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -2.28818897e-03  2.28819098e-03  4.87829132e-11 -2.06087686e-09  2.33085767e-18 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -2.41370314e-03  2.41370512e-03  5.34093915e-11 -2.03579313e-09  8.10979001e-19 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -2.53300569e-03  2.53300765e-03  5.84437248e-11 -2.02364455e-09  1.01470818e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -2.65001688e-03  2.65001884e-03  6.38994085e-11 -2.02148832e-09  7.48969497e-19 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -2.76644069e-03  2.76644265e-03  6.97980634e-11 -2.02707913e-09  1.07024471e-18 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -2.88309996e-03  2.88310192e-03  7.61659484e-11 -2.03866084e-09  1.61926594e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -3.00042396e-03  3.00042593e-03  8.30326321e-11 -2.05480185e-09  8.17399977e-20 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -3.11864820e-03  3.11865018e-03  9.04305046e-11 -2.07084109e-09  4.14310923e-19 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -3.23790659e-03  3.23790857e-03  9.83946391e-11 -2.08327692e-09  5.92013966e-19 
 7.50000000e-01  7.50000000e-01  6.00000000e-01 -3.35828037e-03  3.35828235e-03  1.06962811e-10 -2.09065523e-09  4.35793915e-19 
 8.00000000e-01  8.00000000e-01  6.00000000e-01 -3.47982947e-03  3.47983144e-03  1.16175605e-10 -2.09120626e-09  1.54231960e-18 
 8.50000000e-01  8.50000000e-01  6.00000000e-01 -3.60261706e-03  3.60261902e-03  1.26076560e-10 -2.08275677e-09  2.41554764e-18 
 9.00000000e-01  9.00000000e-01  6.00000000e-01 -3.72673140e-03  3.72673333e-03  1.36712361e-10 -2.06264858e-09  2.69791693e-18 
 9.50000000e-01  9.50000000e-01  6.00000000e-01 -3.85230578e-03  3.85230766e-03  1.48133046e-10 -2.02764367e-09  7.10551507e-19 
 1.00000000e+00  1.00000000e+00  6.00000000e-01 -3.97953638e-03  3.97953820e-03  1.60392236e-10 -1.97381307e-09  4.91823756e-19 
 1.05000000e+00  1.05000000e+00  6.00000000e-01 -4.10869720e-03  4.10869892e-03  1.73547391e-10 -1.89640651e-09  6.54491279e-19 
 1.10000000e+00  1.10000000e+00  6.00000000e-01 -4.24015148e-03  4.24015308e-03  1.87660077e-10 -1.78969952e-09  8.01535635e-19 
 1.15000000e+00  1.15000000e+00  6.00000000e-01 -4.37435948e-03  4.37436091e-03  2.18921829e-10 -1.64681435e-09  9.02719625e-19 
