 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  8.64985501e-07  2.55152332e-09 
 1.00000000e-14  1.00000000e-14  1.12735184e-04  4.06536547e-06 
 1.02489709e-14  1.02489709e-14  1.15528229e-04  4.16616595e-06 
 1.07469128e-14  1.07469128e-14  1.21132857e-04  4.36668347e-06 
 1.17427965e-14  1.17427965e-14  1.32429387e-04  4.76258836e-06 
 1.37345640e-14  1.37345640e-14  1.55369292e-04  5.53457836e-06 
 1.77180989e-14  1.77180989e-14  2.02551595e-04  7.00845124e-06 
 2.56851687e-14  2.56851687e-14  3.01607912e-04  9.73329694e-06 
 3.62683920e-14  3.62683920e-14  4.41906219e-04  1.30110478e-05 
 5.09179866e-14  5.09179866e-14  6.51099390e-04  1.71097159e-05 
 6.55877853e-14  6.55877853e-14  8.77134488e-04  2.08643088e-05 
 7.88557241e-14  7.88557241e-14  1.09543438e-03  2.40519563e-05 
 9.32695591e-14  9.32695591e-14  1.34727842e-03  2.73624466e-05 
 1.06325808e-13  1.06325808e-13  1.58850769e-03  3.02622873e-05 
 1.21032260e-13  1.21032260e-13  1.87506382e-03  3.34490322e-05 
 1.35351272e-13  1.35351272e-13  2.16911382e-03  3.64923399e-05 
 1.51569662e-13  1.51569662e-13  2.52002750e-03  3.98884515e-05 
 1.67978319e-13  1.67978319e-13  2.89430093e-03  4.32841171e-05 
 1.86398925e-13  1.86398925e-13  3.33745695e-03  4.70614378e-05 
 2.05495855e-13  2.05495855e-13  3.82249140e-03  5.09490908e-05 
 2.26853399e-13  2.26853399e-13  4.39574681e-03  5.52721745e-05 
 2.49518739e-13  2.49518739e-13  5.03959936e-03  5.98387899e-05 
 2.74988193e-13  2.74988193e-13  5.80662450e-03  6.49510907e-05 
 3.02698076e-13  3.02698076e-13  6.69331718e-03  7.04954177e-05 
 3.34231141e-13  3.34231141e-13  7.76837653e-03  7.67874384e-05 
 3.69522396e-13  3.69522396e-13  9.05473513e-03  8.38119680e-05 
 4.10546273e-13  4.10546273e-13  1.06601977e-02  9.19588315e-05 
 4.58080240e-13  4.58080240e-13  1.26681557e-02  1.01377432e-04 
 5.15070068e-13  5.15070068e-13  1.52839836e-02  1.12644386e-04 
 5.83817477e-13  5.83817477e-13  1.87409219e-02  1.26204329e-04 
 6.48176767e-13  6.48176767e-13  2.22749304e-02  1.38871508e-04 
 7.15985443e-13  7.15985443e-13  2.63087093e-02  1.52196908e-04 
 7.79113120e-13  7.79113120e-13  3.03493029e-02  1.64585886e-04 
 8.43613796e-13  8.43613796e-13  3.47609351e-02  1.77233034e-04 
 9.05412012e-13  9.05412012e-13  3.92553297e-02  1.89342034e-04 
 9.67829875e-13  9.67829875e-13  4.40597767e-02  2.01568828e-04 
 1.00000000e-12  1.00000000e-12  4.66397327e-02  2.07868004e-04 
 1.00055714e-12  1.00055714e-12  4.66794680e-02  2.07710293e-04 
 1.00167141e-12  1.00167141e-12  4.67588713e-02  2.07412600e-04 
 1.00389996e-12  1.00389996e-12  4.69173871e-02  2.06855258e-04 
 1.00835706e-12  1.00835706e-12  4.72334384e-02  2.05863796e-04 
 1.01573021e-12  1.01573021e-12  4.77541833e-02  2.04507774e-04 
 1.02306377e-12  1.02306377e-12  4.82703346e-02  2.03428712e-04 
 1.03361037e-12  1.03361037e-12  4.90106916e-02  2.02205927e-04 
 1.04694112e-12  1.04694112e-12  4.99444326e-02  2.01043170e-04 
 1.06178479e-12  1.06178479e-12  5.09822889e-02  2.00091630e-04 
 1.07618959e-12  1.07618959e-12  5.19880094e-02  1.99406762e-04 
 1.08957143e-12  1.08957143e-12  5.29212116e-02  1.98917821e-04 
 1.10340784e-12  1.10340784e-12  5.38851028e-02  1.98516607e-04 
 1.11719591e-12  1.11719591e-12  5.48446662e-02  1.98192449e-04 
 1.13209105e-12  1.13209105e-12  5.58802502e-02  1.97902762e-04 
