 frequency       freq            output_noise   
 2.81838293e+05  2.81838293e+05  7.65973631e-12 
 3.16227766e+05  3.16227766e+05  6.82677475e-12 
 3.54813389e+05  3.54813389e+05  6.08438893e-12 
 3.98107171e+05  3.98107171e+05  5.42273117e-12 
 4.46683592e+05  4.46683592e+05  4.83302403e-12 
 5.01187234e+05  5.01187234e+05  4.30744413e-12 
 5.62341325e+05  5.62341325e+05  3.83901852e-12 
 6.30957344e+05  6.30957344e+05  3.42153233e-12 
 7.07945784e+05  7.07945784e+05  3.04944636e-12 
 7.94328235e+05  7.94328235e+05  2.71782367e-12 
 8.91250938e+05  8.91250938e+05  2.42226413e-12 
 1.00000000e+06  1.00000000e+06  2.15884605e-12 
 1.12201845e+06  1.12201845e+06  1.92407418e-12 
 1.25892541e+06  1.25892541e+06  1.71483336e-12 
 1.41253754e+06  1.41253754e+06  1.52834715e-12 
 1.58489319e+06  1.58489319e+06  1.36214105e-12 
 1.77827941e+06  1.77827941e+06  1.21400964e-12 
 1.99526231e+06  1.99526231e+06  1.08198734e-12 
 2.23872114e+06  2.23872114e+06  9.64322312e-13 
 2.51188643e+06  2.51188643e+06  8.59453220e-13 
 2.81838293e+06  2.81838293e+06  7.65988528e-13 
 3.16227766e+06  3.16227766e+06  6.82688022e-13 
 3.54813389e+06  3.54813389e+06  6.08446359e-13 
 3.98107171e+06  3.98107171e+06  5.42278402e-13 
 4.46683592e+06  4.46683592e+06  4.83306145e-13 
 5.01187234e+06  5.01187234e+06  4.30747062e-13 
 5.62341325e+06  5.62341325e+06  3.83903728e-13 
 6.30957344e+06  6.30957344e+06  3.42154561e-13 
 7.07945784e+06  7.07945784e+06  3.04945576e-13 
 7.94328235e+06  7.94328235e+06  2.71783032e-13 
 8.91250938e+06  8.91250938e+06  2.42226884e-13 
 1.00000000e+07  1.00000000e+07  2.15884938e-13 
 1.12201845e+07  1.12201845e+07  1.92407654e-13 
 1.25892541e+07  1.25892541e+07  1.71483503e-13 
 1.41253754e+07  1.41253754e+07  1.52834833e-13 
 1.58489319e+07  1.58489319e+07  1.36214189e-13 
 1.77827941e+07  1.77827941e+07  1.21401024e-13 
 1.99526231e+07  1.99526231e+07  1.08198776e-13 
 2.23872114e+07  2.23872114e+07  9.64322610e-14 
 2.51188643e+07  2.51188643e+07  8.59453432e-14 
 2.81838293e+07  2.81838293e+07  7.65988678e-14 
 3.16227766e+07  3.16227766e+07  6.82688128e-14 
 3.54813389e+07  3.54813389e+07  6.08446435e-14 
 3.98107171e+07  3.98107171e+07  5.42278457e-14 
 4.46683592e+07  4.46683592e+07  4.83306183e-14 
 5.01187234e+07  5.01187234e+07  4.30747090e-14 
 5.62341325e+07  5.62341325e+07  3.83903748e-14 
 6.30957344e+07  6.30957344e+07  3.42154576e-14 
 7.07945784e+07  7.07945784e+07  3.04945588e-14 
 7.94328235e+07  7.94328235e+07  2.71783042e-14 
 8.91250938e+07  8.91250938e+07  2.42226891e-14 
 1.00000000e+08  1.00000000e+08  2.15884945e-14 
 1.12201845e+08  1.12201845e+08  1.92407660e-14 
 1.25892541e+08  1.25892541e+08  1.71483509e-14 
 1.41253754e+08  1.41253754e+08  1.52834839e-14 
 1.58489319e+08  1.58489319e+08  1.36214195e-14 
 1.77827941e+08  1.77827941e+08  1.21401030e-14 
 1.99526231e+08  1.99526231e+08  1.08198783e-14 
 2.23872114e+08  2.23872114e+08  9.64322686e-15 
 2.51188643e+08  2.51188643e+08  8.59453516e-15 
 2.81838293e+08  2.81838293e+08  7.65988771e-15 
 3.16227766e+08  3.16227766e+08  6.82688232e-15 
 3.54813389e+08  3.54813389e+08  6.08446552e-15 
 3.98107171e+08  3.98107171e+08  5.42278587e-15 
 4.46683592e+08  4.46683592e+08  4.83306330e-15 
 5.01187234e+08  5.01187234e+08  4.30747254e-15 
 5.62341325e+08  5.62341325e+08  3.83903932e-15 
 6.30957344e+08  6.30957344e+08  3.42154783e-15 
 7.07945784e+08  7.07945784e+08  3.04945819e-15 
 7.94328235e+08  7.94328235e+08  2.71783301e-15 
 8.91250938e+08  8.91250938e+08  2.42227183e-15 
 1.00000000e+09  1.00000000e+09  2.15885272e-15 
