Title: * mosfet noise analysis simulation
Date: Sun May 11 15:55:33  2025
Plotname: Noise Spectral Density Curves
Flags: real
No. Variables: 3
No. Points: 201
Variables:
	0	frequency	frequency grid=3
	1	freq	frequency
	2	length_noise	voltage-density
Values:
 0	1.000000000000000e+00
	1.000000000000000e+00
	1.610540677837621e-08

 1	1.122018454301963e+00
	1.122018454301963e+00
	1.610532446780023e-08

 2	1.258925411794167e+00
	1.258925411794167e+00
	1.610522084671889e-08

 3	1.412537544622754e+00
	1.412537544622754e+00
	1.610509039835029e-08

 4	1.584893192461113e+00
	1.584893192461113e+00
	1.610492617809122e-08

 5	1.778279410038922e+00
	1.778279410038922e+00
	1.610471944417680e-08

 6	1.995262314968879e+00
	1.995262314968879e+00
	1.610445919291841e-08

 7	2.238721138568339e+00
	2.238721138568339e+00
	1.610413157393520e-08

 8	2.511886431509579e+00
	2.511886431509579e+00
	1.610371915450098e-08

 9	2.818382931264452e+00
	2.818382931264452e+00
	1.610319999424619e-08

 10	3.162277660168377e+00
	3.162277660168377e+00
	1.610254648159840e-08

 11	3.548133892335751e+00
	3.548133892335751e+00
	1.610172387104090e-08

 12	3.981071705534969e+00
	3.981071705534969e+00
	1.610068844494534e-08

 13	4.466835921509626e+00
	4.466835921509626e+00
	1.609938520470378e-08

 14	5.011872336272718e+00
	5.011872336272718e+00
	1.609774497234209e-08

 15	5.623413251903484e+00
	5.623413251903484e+00
	1.609568075480834e-08

 16	6.309573444801925e+00
	6.309573444801925e+00
	1.609308318766491e-08

 17	7.079457843841370e+00
	7.079457843841370e+00
	1.608981483188304e-08

 18	7.943282347242804e+00
	7.943282347242804e+00
	1.608570304581072e-08

 19	8.912509381337442e+00
	8.912509381337442e+00
	1.608053109337575e-08

 20	9.999999999999984e+00
	9.999999999999984e+00
	1.607402707901130e-08

 21	1.122018454301961e+01
	1.122018454301961e+01
	1.606585022064925e-08

 22	1.258925411794165e+01
	1.258925411794165e+01
	1.605557388753589e-08

 23	1.412537544622752e+01
	1.412537544622752e+01
	1.604266474631147e-08

 24	1.584893192461110e+01
	1.584893192461110e+01
	1.602645728934873e-08

 25	1.778279410038919e+01
	1.778279410038919e+01
	1.600612298555946e-08

 26	1.995262314968875e+01
	1.995262314968875e+01
	1.598063333147389e-08

 27	2.238721138568335e+01
	2.238721138568335e+01
	1.594871624536308e-08

 28	2.511886431509575e+01
	2.511886431509575e+01
	1.590880562352428e-08

 29	2.818382931264447e+01
	2.818382931264447e+01
	1.585898458573647e-08

 30	3.162277660168372e+01
	3.162277660168372e+01
	1.579692413797228e-08

 31	3.548133892335746e+01
	3.548133892335746e+01
	1.571982087392462e-08

 32	3.981071705534962e+01
	3.981071705534962e+01
	1.562434013384792e-08

 33	4.466835921509619e+01
	4.466835921509619e+01
	1.550657489526123e-08

 34	5.011872336272709e+01
	5.011872336272709e+01
	1.536203554959667e-08

 35	5.623413251903474e+01
	5.623413251903474e+01
	1.518569116607658e-08

 36	6.309573444801914e+01
	6.309573444801914e+01
	1.497208766435389e-08

 37	7.079457843841358e+01
	7.079457843841358e+01
	1.471557025276646e-08

 38	7.943282347242791e+01
	7.943282347242791e+01
	1.441063312230212e-08

 39	8.912509381337428e+01
	8.912509381337428e+01
	1.405240469906678e-08

 40	9.999999999999969e+01
	9.999999999999969e+01
	1.363724883532709e-08

 41	1.122018454301960e+02
	1.122018454301960e+02
	1.316342231958643e-08

 42	1.258925411794163e+02
	1.258925411794163e+02
	1.263168546808493e-08

 43	1.412537544622750e+02
	1.412537544622750e+02
	1.204573195887412e-08

 44	1.584893192461108e+02
	1.584893192461108e+02
	1.141230662646601e-08

 45	1.778279410038917e+02
	1.778279410038917e+02
	1.074092844261237e-08

 46	1.995262314968873e+02
	1.995262314968873e+02
	1.004322398836356e-08

 47	2.238721138568332e+02
	2.238721138568332e+02
	9.331975780856330e-09

 48	2.511886431509571e+02
	2.511886431509571e+02
	8.620060977223001e-09

 49	2.818382931264443e+02
	2.818382931264443e+02
	7.919471346549782e-09

 50	3.162277660168368e+02
	3.162277660168368e+02
	7.240563554752997e-09

 51	3.548133892335741e+02
	3.548133892335741e+02
	6.591613153264993e-09

 52	3.981071705534957e+02
	3.981071705534957e+02
	5.978668534563739e-09

 53	4.466835921509614e+02
	4.466835921509614e+02
	5.405646637439789e-09

 54	5.011872336272703e+02
	5.011872336272703e+02
	4.874588521783556e-09

 55	5.623413251903468e+02
	5.623413251903468e+02
	4.385994999264706e-09

 56	6.309573444801906e+02
	6.309573444801906e+02
	3.939179410234476e-09

 57	7.079457843841349e+02
	7.079457843841349e+02
	3.532596099217443e-09

 58	7.943282347242780e+02
	7.943282347242780e+02
	3.164122505585041e-09

 59	8.912509381337416e+02
	8.912509381337416e+02
	2.831287169665631e-09

 60	9.999999999999955e+02
	9.999999999999955e+02
	2.531445067153050e-09

 61	1.122018454301958e+03
	1.122018454301958e+03
	2.261906508274520e-09

 62	1.258925411794161e+03
	1.258925411794161e+03
	2.020027695089760e-09

 63	1.412537544622747e+03
	1.412537544622747e+03
	1.803271098708680e-09

 64	1.584893192461106e+03
	1.584893192461106e+03
	1.609242965993241e-09

 65	1.778279410038914e+03
	1.778279410038914e+03
	1.435714053236891e-09

 66	1.995262314968869e+03
	1.995262314968869e+03
	1.280628434299960e-09

 67	2.238721138568328e+03
	2.238721138568328e+03
	1.142104102823483e-09

 68	2.511886431509567e+03
	2.511886431509567e+03
	1.018428143970475e-09

 69	2.818382931264438e+03
	2.818382931264438e+03
	9.080484980402085e-10

 70	3.162277660168362e+03
	3.162277660168362e+03
	8.095637576748023e-10

 71	3.548133892335735e+03
	3.548133892335735e+03
	7.217120039921151e-10

 72	3.981071705534950e+03
	3.981071705534950e+03
	6.433593655832160e-10

 73	4.466835921509605e+03
	4.466835921509605e+03
	5.734887516352227e-10

 74	5.011872336272693e+03
	5.011872336272693e+03
	5.111890446026818e-10

 75	5.623413251903457e+03
	5.623413251903457e+03
	4.556449214618585e-10

 76	6.309573444801895e+03
	6.309573444801895e+03
	4.061273922451946e-10

 77	7.079457843841336e+03
	7.079457843841336e+03
	3.619850901757644e-10

 78	7.943282347242766e+03
	7.943282347242766e+03
	3.226363118276142e-10

 79	8.912509381337401e+03
	8.912509381337401e+03
	2.875617828605358e-10

 80	9.999999999999938e+03
	9.999999999999938e+03
	2.562981110616113e-10

 81	1.122018454301956e+04
	1.122018454301956e+04
	2.284318808344881e-10

 82	1.258925411794159e+04
	1.258925411794159e+04
	2.035943398936021e-10

 83	1.412537544622745e+04
	1.412537544622745e+04
	1.814566283211259e-10

 84	1.584893192461103e+04
	1.584893192461103e+04
	1.617255013331987e-10

 85	1.778279410038911e+04
	1.778279410038911e+04
	1.441394993882971e-10

 86	1.995262314968866e+04
	1.995262314968866e+04
	1.284655221807410e-10

 87	2.238721138568325e+04
	2.238721138568325e+04
	1.144957662758522e-10

 88	2.511886431509563e+04
	2.511886431509563e+04
	1.020449894474339e-10

 89	2.818382931264435e+04
	2.818382931264435e+04
	9.094806803532364e-11

 90	3.162277660168357e+04
	3.162277660168357e+04
	8.105781676511426e-11

 91	3.548133892335730e+04
	3.548133892335730e+04
	7.224304341371502e-11

 92	3.981071705534944e+04
	3.981071705534944e+04
	6.438681343738564e-11

 93	4.466835921509599e+04
	4.466835921509599e+04
	5.738490219347784e-11

 94	5.011872336272686e+04
	5.011872336272686e+04
	5.114441468411996e-11

 95	5.623413251903449e+04
	5.623413251903449e+04
	4.558255483685387e-11

 96	6.309573444801885e+04
	6.309573444801885e+04
	4.062552822509571e-11

 97	7.079457843841326e+04
	7.079457843841326e+04
	3.620756383369925e-11

 98	7.943282347242754e+04
	7.943282347242754e+04
	3.227004200622694e-11

 99	8.912509381337385e+04
	8.912509381337385e+04
	2.876071708528122e-11

 100	9.999999999999920e+04
	9.999999999999920e+04
	2.563302448954196e-11

 101	1.122018454301954e+05
	1.122018454301954e+05
	2.284546307442627e-11

 102	1.258925411794157e+05
	1.258925411794157e+05
	2.036104461011167e-11

 103	1.412537544622743e+05
	1.412537544622743e+05
	1.814680309267239e-11

 104	1.584893192461100e+05
	1.584893192461100e+05
	1.617335739194126e-11

 105	1.778279410038908e+05
	1.778279410038908e+05
	1.441452144314590e-11

 106	1.995262314968862e+05
	1.995262314968862e+05
	1.284695681719468e-11

 107	2.238721138568320e+05
	2.238721138568320e+05
	1.144986306466661e-11

 108	2.511886431509558e+05
	2.511886431509558e+05
	1.020470172826473e-11

 109	2.818382931264429e+05
	2.818382931264429e+05
	9.094950364169787e-12

 110	3.162277660168351e+05
	3.162277660168351e+05
	8.105883310164942e-12

 111	3.548133892335723e+05
	3.548133892335723e+05
	7.224376292772590e-12

 112	3.981071705534937e+05
	3.981071705534937e+05
	6.438732281589982e-12

 113	4.466835921509591e+05
	4.466835921509591e+05
	5.738526280675493e-12

 114	5.011872336272677e+05
	5.011872336272677e+05
	5.114466997928254e-12

 115	5.623413251903439e+05
	5.623413251903439e+05
	4.558273557228130e-12

 116	6.309573444801874e+05
	6.309573444801874e+05
	4.062565617614978e-12

 117	7.079457843841313e+05
	7.079457843841313e+05
	3.620765441621015e-12

 118	7.943282347242740e+05
	7.943282347242740e+05
	3.227010613379735e-12

 119	8.912509381337371e+05
	8.912509381337371e+05
	2.876076248416754e-12

 120	9.999999999999905e+05
	9.999999999999905e+05
	2.563305662952472e-12

 121	1.122018454301953e+06
	1.122018454301953e+06
	2.284548582781918e-12

 122	1.258925411794155e+06
	1.258925411794155e+06
	2.036106071830620e-12

 123	1.412537544622740e+06
	1.412537544622740e+06
	1.814681449642708e-12

 124	1.584893192461098e+06
	1.584893192461098e+06
	1.617336546520922e-12

 125	1.778279410038905e+06
	1.778279410038905e+06
	1.441452715861232e-12

 126	1.995262314968860e+06
	1.995262314968860e+06
	1.284696086346865e-12

 127	2.238721138568317e+06
	2.238721138568317e+06
	1.144986592924665e-12

 128	2.511886431509554e+06
	2.511886431509554e+06
