 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  8.57196599e-08  1.26923207e-08 
 1.00000000e-14  1.00000000e-14  2.12790551e-04  4.22902196e-06 
 1.00240533e-14  1.00240533e-14  2.13303021e-04  4.23907717e-06 
 1.00721599e-14  1.00721599e-14  2.14330029e-04  4.25946977e-06 
 1.01683731e-14  1.01683731e-14  2.16393965e-04  4.30022062e-06 
 1.03607995e-14  1.03607995e-14  2.20562795e-04  4.38159929e-06 
 1.07456523e-14  1.07456523e-14  2.29065103e-04  4.54396424e-06 
 1.15153580e-14  1.15153580e-14  2.46728180e-04  4.86747927e-06 
 1.30547693e-14  1.30547693e-14  2.84684361e-04  5.51076085e-06 
 1.61335918e-14  1.61335918e-14  3.71087640e-04  6.78649537e-06 
 2.22912369e-14  2.22912369e-14  5.85630072e-04  9.30987923e-06 
 3.19037532e-14  3.19037532e-14  1.03080300e-03  1.31979353e-05 
 4.31159599e-14  4.31159599e-14  1.71791854e-03  1.76682204e-05 
 5.40497090e-14  5.40497090e-14  2.55976034e-03  2.19641618e-05 
 6.54905676e-14  6.54905676e-14  3.61956553e-03  2.63935700e-05 
 7.64378803e-14  7.64378803e-14  4.80240976e-03  3.05689444e-05 
 8.77565908e-14  8.77565908e-14  6.19618023e-03  3.48217738e-05 
 9.87786708e-14  9.87786708e-14  7.71770314e-03  3.89006261e-05 
 1.10123769e-13  1.10123769e-13  9.45036010e-03  4.30353104e-05 
 1.21295106e-13  1.21295106e-13  1.13188934e-02  4.70438987e-05 
 1.32727458e-13  1.32727458e-13  1.33951400e-02  5.10824844e-05 
 1.44056377e-13  1.44056377e-13  1.56135527e-02  5.50215359e-05 
 1.55593714e-13  1.55593714e-13  1.80345942e-02  5.89695155e-05 
 1.67076435e-13  1.67076435e-13  2.06034820e-02  6.28358319e-05 
 1.78730218e-13  1.78730218e-13  2.33702350e-02  6.66965207e-05 
 1.90365876e-13  1.90365876e-13  2.62901957e-02  7.04885144e-05 
 2.02146911e-13  2.02146911e-13  2.94040395e-02  7.42651858e-05 
 2.13937204e-13  2.13937204e-13  3.26759516e-02  7.79826847e-05 
 2.25855265e-13  2.25855265e-13  3.61385535e-02  8.16785339e-05 
 2.37803168e-13  2.37803168e-13  3.97634946e-02  8.53223277e-05 
 2.49866913e-13  2.49866913e-13  4.35766663e-02  8.89405443e-05 
 2.61976104e-13  2.61976104e-13  4.75558765e-02  9.25122071e-05 
 2.74193249e-13  2.74193249e-13  5.17215139e-02  9.60561160e-05 
 2.86467798e-13  2.86467798e-13  5.60563750e-02  9.95579155e-05 
 2.98845260e-13  2.98845260e-13  6.05764169e-02  1.03031074e-04 
 3.11289384e-13  3.11289384e-13  6.52684179e-02  1.06465886e-04 
 3.23833359e-13  3.23833359e-13  7.01448059e-02  1.09872114e-04 
 3.36451229e-13  3.36451229e-13  7.51954986e-02  1.13243312e-04 
 3.49167243e-13  3.49167243e-13  8.04301394e-02  1.16586655e-04 
