 v-sweep         v(vdd_therm)    v(gate_therm)   id_therm        power           efficiency     
 1.00000000e-01  1.00000000e-01  4.00000000e-01 -8.69941782e-05 -8.69941782e-06 -1.30058218e-01 
 2.00000000e-01  2.00000000e-01  4.00000000e-01 -1.70500983e-04 -3.41001966e-05 -1.47495085e-01 
 3.00000000e-01  3.00000000e-01  4.00000000e-01 -2.47096496e-04 -7.41289489e-05 -1.76345012e-01 
 4.00000000e-01  4.00000000e-01  4.00000000e-01 -3.10332680e-04 -1.24133072e-04 -2.24168300e-01 
 5.00000000e-01  5.00000000e-01  4.00000000e-01 -3.62118763e-04 -1.81059381e-04 -2.75762475e-01 
 6.00000000e-01  6.00000000e-01  4.00000000e-01 -4.11465385e-04 -2.46879231e-04 -3.14224358e-01 
 7.00000000e-01  7.00000000e-01  4.00000000e-01 -4.61562134e-04 -3.23093494e-04 -3.40625522e-01 
 8.00000000e-01  8.00000000e-01  4.00000000e-01 -5.13067422e-04 -4.10453937e-04 -3.58665723e-01 
 9.00000000e-01  9.00000000e-01  4.00000000e-01 -5.66078245e-04 -5.09470421e-04 -3.71024172e-01 
 1.00000000e+00  1.00000000e+00  4.00000000e-01 -6.20546082e-04 -6.20546082e-04 -3.79453918e-01 
 1.10000000e+00  1.10000000e+00  4.00000000e-01 -6.76380156e-04 -7.44018172e-04 -3.85108949e-01 
 1.20000000e+00  1.20000000e+00  4.00000000e-01 -7.33479508e-04 -8.80175409e-04 -3.88767077e-01 
 0.00000000e+00  0.00000000e+00  5.00000000e-01  3.16509247e-11  0.00000000e+00  1.00178104e-03 
 1.00000000e-01  1.00000000e-01  5.00000000e-01 -9.47554640e-05 -9.47554640e-06 -5.24453600e-02 
 2.00000000e-01  2.00000000e-01  5.00000000e-01 -1.89241082e-04 -3.78482165e-05 -5.37945886e-02 
 3.00000000e-01  3.00000000e-01  5.00000000e-01 -2.83415748e-04 -8.50247245e-05 -5.52808385e-02 
 4.00000000e-01  4.00000000e-01  5.00000000e-01 -3.77229628e-04 -1.50891851e-04 -5.69259292e-02 
 5.00000000e-01  5.00000000e-01  5.00000000e-01 -4.70619762e-04 -2.35309881e-04 -5.87604758e-02 
 6.00000000e-01  6.00000000e-01  5.00000000e-01 -5.63504013e-04 -3.38102408e-04 -6.08266456e-02 
