 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.33160638e-09  1.33160638e-09  1.80489753e-12 -2.66501767e-09  2.23059560e-20 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -1.44605871e-03  1.44606117e-03  2.04401944e-12 -2.45579143e-09  2.41471340e-19 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -2.35470256e-03  2.35470485e-03  2.47027539e-12 -2.28976550e-09  1.06396614e-19 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -2.84847122e-03  2.84847338e-03  3.24449532e-12 -2.16599300e-09  4.93176411e-19 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -3.11607089e-03  3.11607296e-03  4.38172083e-12 -2.07710242e-09  1.58644020e-18 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -3.30286471e-03  3.30286672e-03  5.75523921e-12 -2.01423979e-09  2.56121875e-18 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -3.46171892e-03  3.46172089e-03  7.29367799e-12 -1.97109155e-09  1.56235038e-18 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -3.60919109e-03  3.60919303e-03  8.97258879e-12 -1.94327230e-09  1.24330789e-18 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -3.75133569e-03  3.75133760e-03  1.07844472e-11 -1.92744933e-09  1.23903362e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -3.89076940e-03  3.89077131e-03  1.27279676e-11 -1.92098141e-09  2.20514467e-18 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -4.02877613e-03  4.02877803e-03  1.48045708e-11 -1.92174628e-09  8.86946073e-19 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -4.16604661e-03  4.16604852e-03  1.70170875e-11 -1.92803567e-09  1.81169228e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -4.30297921e-03  4.30298112e-03  1.93692339e-11 -1.93843100e-09  2.68214567e-19 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -4.43981934e-03  4.43982127e-03  2.18653890e-11 -1.94826617e-09  1.91367989e-18 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -4.57673426e-03  4.57673619e-03  2.45105029e-11 -1.95402396e-09  2.69726321e-18 
