 time            time            v(gate_rc)      id             
 1.07982454e-12  1.07982454e-12  3.37615483e-01  2.42828890e-04 
 1.09413367e-12  1.09413367e-12  3.43921020e-01  2.34131768e-04 
 1.10919314e-12  1.10919314e-12  3.50420936e-01  2.24510795e-04 
 1.12340248e-12  1.12340248e-12  3.56426191e-01  2.15003767e-04 
 1.13824338e-12  1.13824338e-12  3.62568208e-01  2.04661019e-04 
 1.15260817e-12  1.15260817e-12  3.68390281e-01  1.94278171e-04 
 1.16756998e-12  1.16756998e-12  3.74330086e-01  1.83082103e-04 
 1.18215109e-12  1.18215109e-12  3.80001725e-01  1.71821680e-04 
 1.19692938e-12  1.19692938e-12  3.85637804e-01  1.60086501e-04 
 1.21206852e-12  1.21206852e-12  3.91300537e-01  1.47757851e-04 
 1.22774897e-12  1.22774897e-12  3.97054278e-01  1.34691832e-04 
 1.24362141e-12  1.24362141e-12  4.02770177e-01  1.21189239e-04 
 1.25999054e-12  1.25999054e-12  4.08558332e-01  1.07004992e-04 
 1.27659805e-12  1.27659805e-12  4.14327603e-01  9.23762907e-05 
 1.29370328e-12  1.29370328e-12  4.20168560e-01  7.70900325e-05 
 1.31111454e-12  1.31111454e-12  4.26015710e-01  6.13320442e-05 
 1.32902408e-12  1.32902408e-12  4.31933662e-01  4.49444873e-05 
 1.34728024e-12  1.34728024e-12  4.37871971e-01  2.80824638e-05 
 1.36601875e-12  1.36601875e-12  4.43874541e-01  1.06385274e-05 
 1.38511656e-12  1.38511656e-12  4.49901466e-01  7.25416460e-06 
 1.40466630e-12  1.40466630e-12  4.55981576e-01  2.56624530e-05 
 1.42456717e-12  1.42456717e-12  4.62082970e-01  4.44707880e-05 
 1.44488009e-12  1.44488009e-12  4.68223871e-01  6.37153034e-05 
 1.46552257e-12  1.46552257e-12  4.74378812e-01  8.32961046e-05 
 1.48653338e-12  1.48653338e-12  4.80558901e-01  1.03227995e-04 
 1.50784593e-12  1.50784593e-12  4.86744088e-01  1.23426094e-04 
 1.52948437e-12  1.52948437e-12  4.92940995e-01  1.43891979e-04 
 1.55139614e-12  1.55139614e-12  4.99134177e-01  1.64555320e-04 
 1.57359633e-12  1.57359633e-12  5.05327590e-01  1.85410630e-04 
 1.59604444e-12  1.59604444e-12  5.11509631e-01  2.06401173e-04 
 1.61875019e-12  1.61875019e-12  5.17682738e-01  2.27518507e-04 
 1.64168311e-12  1.64168311e-12  5.23838400e-01  2.48717957e-04 
 1.66484981e-12  1.66484981e-12  5.29978211e-01  2.69990538e-04 
 1.68822784e-12  1.68822784e-12  5.36096058e-01  2.91301765e-04 
 1.71182198e-12  1.71182198e-12  5.42193062e-01  3.12643329e-04 
 1.73577014e-12  1.73577014e-12  5.48304004e-01  3.34126660e-04 
 1.76000588e-12  1.76000588e-12  5.54410702e-01  3.55678929e-04 
 1.78460238e-12  1.78460238e-12  5.60530344e-01  3.77352536e-04 
 1.80949549e-12  1.80949549e-12  5.66645684e-01  3.99078941e-04 
 1.83473504e-12  1.83473504e-12  5.72767751e-01  4.20890372e-04 
 1.86027484e-12  1.86027484e-12  5.78884132e-01  4.42736334e-04 
 1.88615267e-12  1.88615267e-12  5.85002717e-01  4.64639202e-04 
 1.91233652e-12  1.91233652e-12  5.91114775e-01  4.86562510e-04 
 1.93885489e-12  1.93885489e-12  5.97225841e-01  5.08521304e-04 
 1.96568547e-12  1.96568547e-12  6.03329643e-01  5.30488734e-04 
 1.99284966e-12  1.99284966e-12  6.09429952e-01  5.52474397e-04 
 2.02033195e-12  2.02033195e-12  6.15522186e-01  5.74458202e-04 
 2.04814846e-12  2.04814846e-12  6.21608845e-01  5.96445872e-04 
 2.07628855e-12  2.07628855e-12  6.27686529e-01  6.18422132e-04 
 2.10476447e-12  2.10476447e-12  6.33756826e-01  6.40389974e-04 
 2.13356903e-12  2.13356903e-12  6.39817158e-01  6.62337537e-04 
 2.16271157e-12  2.16271157e-12  6.45868456e-01  6.84265867e-04 
 2.19218734e-12  2.19218734e-12  6.51908705e-01  7.06165507e-04 
 2.22200349e-12  2.22200349e-12  6.57938361e-01  7.28036108e-04 
 2.25215693e-12  2.25215693e-12  6.63955792e-01  7.49869891e-04 
 2.28265317e-12  2.28265317e-12  6.69961102e-01  7.71665501e-04 
 2.31349024e-12  2.31349024e-12  6.75952921e-01  7.93416333e-04 
 2.34467237e-12  2.34467237e-12  6.81931095e-01  8.15120307e-04 
 2.37619834e-12  2.37619834e-12  6.87894426e-01  8.36771640e-04 
 2.40807141e-12  2.40807141e-12  6.93842573e-01  8.58367739e-04 
 2.44029085e-12  2.44029085e-12  6.99774456e-01  8.79903409e-04 
 2.47285912e-12  2.47285912e-12  7.05689596e-01  9.01375705e-04 
 2.50577582e-12  2.50577582e-12  7.11586992e-01  9.22779860e-04 
 2.53904284e-12  2.53904284e-12  7.17466068e-01  9.44112707e-04 
 2.57265995e-12  2.57265995e-12  7.23325879e-01  9.65369811e-04 
 2.60662860e-12  2.60662860e-12  7.29165783e-01  9.86547879e-04 
 2.64094869e-12  2.64094869e-12  7.34984880e-01  1.00764275e-03 
 2.67562133e-12  2.67562133e-12  7.40782484e-01  1.02865109e-03 
 2.71064652e-12  2.71064652e-12  7.46557731e-01  1.04956898e-03 
 2.74602513e-12  2.74602513e-12  7.52309911e-01  1.07039310e-03 
 2.78175723e-12  2.78175723e-12  7.58038196e-01  1.09111976e-03 
