Vth_shift Vgs Vds Id Gm Rout
0.0 1.0 1.0 -0.0115769 0.0157414 310.902
0.01 1.0 1.0 -0.00963857 0.015644 323.17
0.02 1.0 1.0 -0.00944091 0.0156341 324.492
0.03 1.0 1.0 -0.00924296 0.0156238 325.837
0.05 1.0 1.0 -0.00884634 0.0156019 328.61
0.07 1.0 1.0 -0.00844904 0.0155776 331.509
0.10 1.0 1.0 -0.00785254 0.0155351 336.148
0.15 1.0 1.0 -0.00685978 0.0154409 344.902
