 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 1.10575764e-12  1.10575764e-12  1.32690917e-02  1.20080971e+00  1.71535693e-04  1.19998453e+00 
 1.14748834e-12  1.14748834e-12  1.37698600e-02  1.20083858e+00  1.74302995e-04  1.19998474e+00 
 1.19057474e-12  1.19057474e-12  1.42868969e-02  1.20086793e+00  1.77058416e-04  1.19998496e+00 
 1.23507144e-12  1.23507144e-12  1.48208573e-02  1.20089777e+00  1.79794463e-04  1.19998517e+00 
 1.28109994e-12  1.28109994e-12  1.53731993e-02  1.20092816e+00  1.82507207e-04  1.19998538e+00 
 1.32874033e-12  1.32874033e-12  1.59448839e-02  1.20095912e+00  1.85189479e-04  1.19998558e+00 
 1.37812781e-12  1.37812781e-12  1.65375337e-02  1.20099069e+00  1.87836504e-04  1.19998578e+00 
 1.42937127e-12  1.42937127e-12  1.71524552e-02  1.20102292e+00  1.90441152e-04  1.19998597e+00 
 1.48262741e-12  1.48262741e-12  1.77915289e-02  1.20105587e+00  1.92997813e-04  1.19998615e+00 
 1.53803976e-12  1.53803976e-12  1.84564772e-02  1.20108957e+00  1.95499104e-04  1.19998632e+00 
 1.59579638e-12  1.59579638e-12  1.91495566e-02  1.20112410e+00  1.97938489e-04  1.19998648e+00 
 1.65608467e-12  1.65608467e-12  1.98730160e-02  1.20115952e+00  2.00308000e-04  1.19998663e+00 
 1.71913732e-12  1.71913732e-12  2.06296478e-02  1.20119590e+00  2.02599954e-04  1.19998676e+00 
 1.78519977e-12  1.78519977e-12  2.14223973e-02  1.20123333e+00  2.04805374e-04  1.19998687e+00 
 1.85456831e-12  1.85456831e-12  2.22548198e-02  1.20127189e+00  2.06915053e-04  1.19998697e+00 
 1.92736521e-12  1.92736521e-12  2.31283826e-02  1.20131158e+00  2.08913140e-04  1.19998704e+00 
 2.00388866e-12  2.00388866e-12  2.40466639e-02  1.20135247e+00  2.10787990e-04  1.19998710e+00 
 2.08447293e-12  2.08447293e-12  2.50136751e-02  1.20139465e+00  2.12527017e-04  1.19998712e+00 
 2.16953898e-12  2.16953898e-12  2.60344677e-02  1.20143821e+00  2.14117336e-04  1.19998712e+00 
 2.25955396e-12  2.25955396e-12  2.71146475e-02  1.20148328e+00  2.15544298e-04  1.19998710e+00 
 2.35506872e-12  2.35506872e-12  2.82608246e-02  1.20152998e+00  2.16791716e-04  1.19998704e+00 
 2.45670397e-12  2.45670397e-12  2.94804477e-02  1.20157845e+00  2.17841126e-04  1.19998695e+00 
 2.56518887e-12  2.56518887e-12  3.07822665e-02  1.20162883e+00  2.18671738e-04  1.19998682e+00 
 2.68135887e-12  2.68135887e-12  3.21763065e-02  1.20168128e+00  2.19259810e-04  1.19998666e+00 
 2.80619374e-12  2.80619374e-12  3.36743249e-02  1.20173596e+00  2.19578329e-04  1.19998646e+00 
 2.94082152e-12  2.94082152e-12  3.52898582e-02  1.20179305e+00  2.19596456e-04  1.19998622e+00 
 3.08655076e-12  3.08655076e-12  3.70386092e-02  1.20185271e+00  2.19279180e-04  1.19998593e+00 
 3.23674569e-12  3.23674569e-12  3.88409482e-02  1.20191194e+00  2.18630019e-04  1.19998562e+00 
 3.39610357e-12  3.39610357e-12  4.07532428e-02  1.20197237e+00  2.17630482e-04  1.19998527e+00 
 3.55986255e-12  3.55986255e-12  4.27183506e-02  1.20203195e+00  2.16315653e-04  1.19998490e+00 
 3.72761160e-12  3.72761160e-12  4.47313392e-02  1.20209043e+00  2.14710163e-04  1.19998452e+00 
 3.89747615e-12  3.89747615e-12  4.67697138e-02  1.20214710e+00  2.12858047e-04  1.19998413e+00 
 4.07051564e-12  4.07051564e-12  4.88461877e-02  1.20220228e+00  2.10774367e-04  1.19998374e+00 
 4.24590031e-12  4.24590031e-12  5.09508037e-02  1.20225567e+00  2.08493539e-04  1.19998335e+00 
 4.42460192e-12  4.42460192e-12  5.30952230e-02  1.20230753e+00  2.06025776e-04  1.19998296e+00 
 4.60604363e-12  4.60604363e-12  5.52725235e-02  1.20235767e+00  2.03399925e-04  1.19998257e+00 
 4.79094037e-12  4.79094037e-12  5.74912844e-02  1.20240622e+00  2.00625229e-04  1.19998219e+00 
 4.97887696e-12  4.97887696e-12  5.97465235e-02  1.20245305e+00  1.97726046e-04  1.19998183e+00 
 5.17040529e-12  5.17040529e-12  6.20448635e-02  1.20249824e+00  1.94710887e-04  1.19998147e+00 
 5.36525791e-12  5.36525791e-12  6.43830949e-02  1.20254170e+00  1.91599793e-04  1.19998112e+00 
 5.56388692e-12  5.56388692e-12  6.67666430e-02  1.20258347e+00  1.88400381e-04  1.19998078e+00 
 5.76614524e-12  5.76614524e-12  6.91937429e-02  1.20262348e+00  1.85128830e-04  1.19998046e+00 
 5.97241953e-12  5.97241953e-12  7.16690344e-02  1.20266175e+00  1.81791787e-04  1.19998015e+00 
 6.18265795e-12  6.18265795e-12  7.41918954e-02  1.20269822e+00  1.78402087e-04  1.19997985e+00 
 6.39720643e-12  6.39720643e-12  7.67664772e-02  1.20273289e+00  1.74965298e-04  1.19997957e+00 
 6.61609175e-12  6.61609175e-12  7.93931010e-02  1.20276571e+00  1.71491305e-04  1.19997931e+00 
 6.83964001e-12  6.83964001e-12  8.20756801e-02  1.20279665e+00  1.67984432e-04  1.19997906e+00 
 7.06794752e-12  7.06794752e-12  8.48153702e-02  1.20282565e+00  1.64451861e-04  1.19997883e+00 
 7.30133941e-12  7.30133941e-12  8.76160730e-02  1.20285268e+00  1.60896442e-04  1.19997861e+00 
 7.53997890e-12  7.53997890e-12  9.04797468e-02  1.20287766e+00  1.57322750e-04  1.19997841e+00 
 7.78420869e-12  7.78420869e-12  9.34105043e-02  1.20290052e+00  1.53731858e-04  1.19997822e+00 
 8.03426271e-12  8.03426271e-12  9.64111525e-02  1.20292117e+00  1.50125652e-04  1.19997805e+00 
 8.29052197e-12  8.29052197e-12  9.94862637e-02  1.20293950e+00  1.46503020e-04  1.19997790e+00 
 8.55330276e-12  8.55330276e-12  1.02639633e-01  1.20295540e+00  1.42862863e-04  1.19997776e+00 
 8.82305078e-12  8.82305078e-12  1.05876609e-01  1.20296872e+00  1.39201276e-04  1.19997763e+00 
 9.10018751e-12  9.10018751e-12  1.09202250e-01  1.20297927e+00  1.35513584e-04  1.19997751e+00 
 9.38526127e-12  9.38526127e-12  1.12623135e-01  1.20298686e+00  1.31792155e-04  1.19997741e+00 
 9.67875771e-12  9.67875771e-12  1.16145092e-01  1.20299122e+00  1.28028713e-04  1.19997732e+00 
 9.98120358e-12  9.98120358e-12  1.19774443e-01  1.20299206e+00  1.24212654e-04  1.19997724e+00 
 1.02934243e-11  1.02934243e-11  1.23521092e-01  1.20298900e+00  1.20327527e-04  1.19997717e+00 
 1.06162404e-11  1.06162404e-11  1.27394885e-01  1.20298161e+00  1.16354498e-04  1.19997711e+00 
 1.09508037e-11  1.09508037e-11  1.31409645e-01  1.20296931e+00  1.12267593e-04  1.19997705e+00 
 1.12983832e-11  1.12983832e-11  1.35580599e-01  1.20295143e+00  1.08035558e-04  1.19997700e+00 
 1.16236153e-11  1.16236153e-11  1.39483383e-01  1.20292983e+00  1.04070382e-04  1.19997696e+00 
 1.19277147e-11  1.19277147e-11  1.43132576e-01  1.20290523e+00  1.00342133e-04  1.19997693e+00 
 1.22181355e-11  1.22181355e-11  1.46617626e-01  1.20287763e+00  9.67484721e-05  1.19997689e+00 
 1.25008966e-11  1.25008966e-11  1.50010760e-01  1.20284674e+00  9.32053038e-05  1.19997686e+00 
 1.28029058e-11  1.28029058e-11  1.53634870e-01  1.20280919e+00  8.93579776e-05  1.19997682e+00 
 1.30798855e-11  1.30798855e-11  1.56958626e-01  1.20277044e+00  8.57597828e-05  1.19997678e+00 
 1.33647805e-11  1.33647805e-11  1.60377365e-01  1.20272609e+00  8.19759016e-05  1.19997674e+00 
 1.36293813e-11  1.36293813e-11  1.63552576e-01  1.20268064e+00  7.83748965e-05  1.19997670e+00 
 1.38976201e-11  1.38976201e-11  1.66771441e-01  1.20263019e+00  7.46276582e-05  1.19997665e+00 
 1.41521380e-11  1.41521380e-11  1.69825656e-01  1.20257805e+00  7.09718382e-05  1.19997661e+00 
 1.44084535e-11  1.44084535e-11  1.72901442e-01  1.20252118e+00  6.71813655e-05  1.19997655e+00 
 1.46551935e-11  1.46551935e-11  1.75862321e-01  1.20246210e+00  6.34200551e-05  1.19997649e+00 
 1.49023912e-11  1.49023912e-11  1.78828695e-01  1.20239846e+00  5.95320098e-05  1.19997643e+00 
 1.51425625e-11  1.51425625e-11  1.81710750e-01  1.20233220e+00  5.56311763e-05  1.19997637e+00 
 1.53823662e-11  1.53823662e-11  1.84588395e-01  1.20226148e+00  5.16067372e-05  1.19997630e+00 
 1.56169021e-11  1.56169021e-11  1.87402826e-01  1.20218773e+00  4.75376316e-05  1.19997622e+00 
 1.58506672e-11  1.58506672e-11  1.90208007e-01  1.20210954e+00  4.33433256e-05  1.19997614e+00 
 1.60804420e-11  1.60804420e-11  1.92965304e-01  1.20202793e+00  3.90785682e-05  1.19997605e+00 
 1.63092983e-11  1.63092983e-11  1.95711579e-01  1.20194179e+00  3.46838789e-05  1.19997596e+00 
 1.65351143e-11  1.65351143e-11  1.98421372e-01  1.20185185e+00  3.01971420e-05  1.19997587e+00 
 1.67600164e-11  1.67600164e-11  2.01120197e-01  1.20175722e+00  2.55736298e-05  1.19997576e+00 
 1.69819218e-11  1.69819218e-11  2.03783061e-01  1.20165872e+00  2.08541211e-05  1.19997566e+00 
 1.71983186e-11  1.71983186e-11  2.06379823e-01  1.20155759e+00  1.60954374e-05  1.19997555e+00 
 1.74108592e-11  1.74108592e-11  2.08930310e-01  1.20145321e+00  1.12661594e-05  1.19997543e+00 
 1.76183355e-11  1.76183355e-11  2.11420026e-01  1.20134633e+00  6.39877875e-06  1.19997532e+00 
 1.78223354e-11  1.78223354e-11  2.13868024e-01  1.20123629e+00  1.46119934e-06  1.19997520e+00 
 1.78755932e-11  1.78755932e-11  2.14507118e-01  1.20120674e+00  1.47118394e-07  1.19997517e+00 
 1.79062086e-11  1.79062086e-11  2.14874503e-01  1.20118959e+00 -8.29620206e-07  1.19997515e+00 
 1.79375385e-11  1.79375385e-11  2.15250462e-01  1.20117192e+00 -1.86616802e-06  1.19997512e+00 
 1.79682712e-11  1.79682712e-11  2.15619254e-01  1.20115446e+00 -2.83688722e-06  1.19997509e+00 
 1.80010979e-11  1.80010979e-11  2.16013175e-01  1.20113568e+00 -3.83829140e-06  1.19997507e+00 
 1.80667513e-11  1.80667513e-11  2.16801016e-01  1.20109771e+00 -5.79904748e-06  1.19997501e+00 
 1.81476549e-11  1.81476549e-11  2.17771858e-01  1.20105017e+00 -8.17162907e-06  1.19997493e+00 
 1.82668408e-11  1.82668408e-11  2.19202090e-01  1.20097862e+00 -1.16201200e-05  1.19997483e+00 
 1.84215493e-11  1.84215493e-11  2.21058591e-01  1.20088299e+00 -1.60705041e-05  1.19997469e+00 
 1.85983380e-11  1.85983380e-11  2.23180057e-01  1.20076984e+00 -2.11783978e-05  1.19997454e+00 
 1.87961583e-11  1.87961583e-11  2.25553899e-01  1.20063821e+00 -2.69723907e-05  1.19997437e+00 
 1.89788142e-11  1.89788142e-11  2.27745770e-01  1.20051185e+00 -3.24232885e-05  1.19997422e+00 
 1.91688185e-11  1.91688185e-11  2.30025822e-01  1.20037539e+00 -3.82146267e-05  1.19997407e+00 
 1.91873166e-11  1.91873166e-11  2.30247800e-01  1.20036182e+00 -3.87851676e-05  1.19997406e+00 
 1.92243129e-11  1.92243129e-11  2.30691755e-01  1.20033455e+00 -3.99301479e-05  1.19997403e+00 
 1.92983054e-11  1.92983054e-11  2.31579665e-01  1.20027940e+00 -4.22361131e-05  1.19997397e+00 
 1.93036484e-11  1.93036484e-11  2.31643781e-01  1.20027539e+00 -4.24034546e-05  1.19997396e+00 
 1.93080859e-11  1.93080859e-11  2.31697030e-01  1.20027205e+00 -4.25425186e-05  1.19997396e+00 
 1.93127292e-11  1.93127292e-11  2.31752751e-01  1.20026856e+00 -4.26881195e-05  1.19997396e+00 
 1.93172096e-11  1.93172096e-11  2.31806515e-01  1.20026518e+00 -4.28286898e-05  1.19997395e+00 
 1.93213573e-11  1.93213573e-11  2.31856288e-01  1.20026206e+00 -4.29588948e-05  1.19997395e+00 
 1.93258016e-11  1.93258016e-11  2.31909619e-01  1.20025870e+00 -4.30984840e-05  1.19997394e+00 
 1.93312298e-11  1.93312298e-11  2.31974758e-01  1.20025460e+00 -4.32690866e-05  1.19997394e+00 
 1.93387359e-11  1.93387359e-11  2.32064831e-01  1.20024893e+00 -4.35051841e-05  1.19997393e+00 
 1.93505512e-11  1.93505512e-11  2.32206615e-01  1.20023997e+00 -4.38772800e-05  1.19997392e+00 
 1.93663506e-11  1.93663506e-11  2.32396207e-01  1.20022797e+00 -4.43757128e-05  1.19997391e+00 
 1.93857596e-11  1.93857596e-11  2.32629115e-01  1.20021317e+00 -4.49893869e-05  1.19997390e+00 
 1.94090722e-11  1.94090722e-11  2.32908867e-01  1.20019533e+00 -4.57284788e-05  1.19997388e+00 
 1.94393066e-11  1.94393066e-11  2.33271679e-01  1.20017206e+00 -4.66902690e-05  1.19997385e+00 
 1.94720154e-11  1.94720154e-11  2.33664184e-01  1.20014673e+00 -4.77349251e-05  1.19997383e+00 
 1.95045607e-11  1.95045607e-11  2.34054728e-01  1.20012137e+00 -4.87786624e-05  1.19997380e+00 
 1.95396673e-11  1.95396673e-11  2.34476007e-01  1.20009383e+00 -4.99093712e-05  1.19997377e+00 
 1.95758372e-11  1.95758372e-11  2.34910047e-01  1.20006526e+00 -5.10795933e-05  1.19997374e+00 
 1.96159096e-11  1.96159096e-11  2.35390915e-01  1.20003338e+00 -5.23823398e-05  1.19997371e+00 
 1.96419617e-11  1.96419617e-11  2.35703540e-01  1.20001252e+00 -5.32328312e-05  1.19997369e+00 
 1.96464784e-11  1.96464784e-11  2.35757741e-01  1.20000889e+00 -5.33805678e-05  1.19997368e+00 
 1.96555119e-11  1.96555119e-11  2.35866143e-01  1.20000162e+00 -5.36762938e-05  1.19997368e+00 
 1.96578633e-11  1.96578633e-11  2.35894360e-01  1.19999977e+00 -5.37532031e-05  1.19997367e+00 
