 time            time            v(gate_charge)  ig_charge       id_charge       is_charge       ib_charge       i_total         qg_approx       qd_approx       qs_approx       qb_approx       q_total        
 3.68517519e-13  3.68517519e-13  4.42221023e-04 -5.38954519e-06  6.59492428e-07  4.01362828e-06  7.15224481e-07 -1.20000014e-09 -1.10570281e-18 -5.18938041e-20  1.01649931e-18  1.40715086e-19 -3.82221028e-22 
 3.91931527e-13  3.91931527e-13  4.70317832e-04 -5.60635136e-06  7.31333119e-07  4.12647633e-06  7.47341919e-07 -1.20000013e-09 -1.23443182e-18 -3.56114042e-20  1.11179555e-18  1.57837356e-19 -4.10317840e-22 
 4.16362434e-13  4.16362434e-13  4.99634921e-04 -5.81996104e-06  8.02057946e-07  4.23767956e-06  7.79023537e-07 -1.20000003e-09 -1.37400941e-18 -1.68803366e-20  1.21396751e-18  1.76482603e-19 -4.39634931e-22 
 4.40755802e-13  4.40755802e-13  5.28906962e-04 -6.02110849e-06  8.68600004e-07  4.34242588e-06  8.08882604e-07 -1.20000009e-09 -1.51843119e-18  3.49615019e-21  1.31861634e-18  1.95849792e-19 -4.68906973e-22 
 4.66047255e-13  4.66047255e-13  5.59256706e-04 -6.21759978e-06  9.33543015e-07  4.44478862e-06  8.38068146e-07 -1.20000006e-09 -1.67319855e-18  2.62855581e-20  1.42973705e-18  2.16676681e-19 -4.99256719e-22 
 4.91465265e-13  4.91465265e-13  5.89758318e-04 -6.40342035e-06  9.94899550e-07  4.54164072e-06  8.65680073e-07 -1.19999993e-09 -1.83359915e-18  5.07941440e-20  1.54394562e-18  2.38329625e-19 -5.29758330e-22 
 5.17707454e-13  5.17707454e-13  6.21248944e-04 -6.58374311e-06  1.05437853e-06  4.63568258e-06  8.92481998e-07 -1.20000004e-09 -2.00400495e-18  7.76829152e-20  1.66436215e-18  2.61398635e-19 -5.61248956e-22 
 5.44210860e-13  5.44210860e-13  6.53053032e-04 -6.75469647e-06  1.11070316e-06  4.72489835e-06  9.17894954e-07 -1.19999998e-09 -2.18076199e-18  1.06373935e-19  1.78840579e-18  2.85389213e-19 -5.93053044e-22 
 5.71498572e-13  5.71498572e-13  6.85798287e-04 -6.91971497e-06  1.16500563e-06  4.81108238e-06  9.42426955e-07 -1.19999994e-09 -2.36733369e-18  1.37423379e-19  1.91851334e-18  3.10771178e-19 -6.25798298e-22 
 5.99161935e-13  5.99161935e-13  7.18994322e-04 -7.07633621e-06  1.21647578e-06  4.89295027e-06  9.65710160e-07 -1.20000013e-09 -2.56092261e-18  1.70363270e-19  2.05273643e-18  3.37163922e-19 -6.58994334e-22 
 6.27596468e-13  6.27596468e-13  7.53115761e-04 -7.22685197e-06  1.26586720e-06  4.97170075e-06  9.88084028e-07 -1.20000017e-09 -2.76427485e-18  2.05655402e-19  2.19298480e-18  3.64941535e-19 -6.93115777e-22 
 6.56508301e-13  6.56508301e-13  7.87809961e-04 -7.36972429e-06  1.31267534e-06  5.04652986e-06  1.00931909e-06 -1.20000006e-09 -2.97528174e-18  2.42930597e-19  2.33780750e-18  3.93815827e-19 -7.27809980e-22 
 6.86200127e-13  6.86200127e-13  8.23440153e-04 -7.50649640e-06  1.35740618e-06  5.11824608e-06  1.02964414e-06 -1.19999998e-09 -3.19613282e-18  2.82570396e-19  2.48871289e-18  4.24086099e-19 -7.63440173e-22 
 7.16464061e-13  7.16464061e-13  8.59756873e-04 -7.63623473e-06  1.39975457e-06  5.18636009e-06  1.04892007e-06 -1.20000005e-09 -3.42527212e-18  3.24291660e-19  2.64464184e-18  4.55538863e-19 -7.99756893e-22 
 7.47535966e-13  7.47535966e-13  8.97043159e-04 -7.75999473e-06  1.44006536e-06  5.25142592e-06  1.06730345e-06 -1.19999983e-09 -3.66446721e-18  3.68410968e-19  2.80680279e-18  4.88416411e-19 -8.37043178e-22 
 7.79272210e-13  7.79272210e-13  9.35126653e-04 -7.87723331e-06  1.47816189e-06  5.31315795e-06  1.08471346e-06 -1.20000007e-09 -3.91260066e-18  4.14717755e-19  2.97444290e-18  5.22564879e-19 -8.75126670e-22 
 8.11861768e-13  8.11861768e-13  9.74234121e-04 -7.98869141e-06  1.51428531e-06  5.37194604e-06  1.10126006e-06 -1.19999987e-09 -4.17113239e-18  4.63479020e-19  3.14855430e-18  5.58184834e-19 -9.14234138e-22 
 8.45210783e-13  8.45210783e-13  1.01425294e-03 -8.09408056e-06  1.54834242e-06  5.42763777e-06  1.11690037e-06 -1.20000002e-09 -4.43930469e-18  5.14546829e-19  3.32863205e-18  5.95171567e-19 -9.54252954e-22 
 8.79474720e-13  8.79474720e-13  1.05536966e-03 -8.19393430e-06  1.58050606e-06  5.48051464e-06  1.13171360e-06 -1.20000002e-09 -4.71835046e-18  5.68150164e-19  3.51551017e-18  6.33694751e-19 -9.95369680e-22 
