 time            time            v(in_inv)       v(out_inv)      i(Vdd_inv)     
 2.16953898e-12  2.16953898e-12  2.60344677e-02  1.20167278e+00  1.96784289e-04 
 2.25955396e-12  2.25955396e-12  2.71146475e-02  1.20171861e+00  2.01956694e-04 
 2.35506872e-12  2.35506872e-12  2.82608246e-02  1.20176568e+00  2.07286080e-04 
 2.45670397e-12  2.45670397e-12  2.94804477e-02  1.20181409e+00  2.12783748e-04 
 2.56518887e-12  2.56518887e-12  3.07822665e-02  1.20186396e+00  2.18462254e-04 
 2.68135887e-12  2.68135887e-12  3.21763065e-02  1.20191541e+00  2.24334197e-04 
 2.80619374e-12  2.80619374e-12  3.36743249e-02  1.20196857e+00  2.30412887e-04 
 2.94082152e-12  2.94082152e-12  3.52898582e-02  1.20202357e+00  2.36710952e-04 
 3.08655076e-12  3.08655076e-12  3.70386092e-02  1.20208053e+00  2.43240049e-04 
 3.23674569e-12  3.23674569e-12  3.88409482e-02  1.20213658e+00  2.49669152e-04 
 3.39610357e-12  3.39610357e-12  4.07532428e-02  1.20219325e+00  2.56172483e-04 
 3.55986255e-12  3.55986255e-12  4.27183506e-02  1.20224864e+00  2.62529880e-04 
 3.72761160e-12  3.72761160e-12  4.47313392e-02  1.20230255e+00  2.68715924e-04 
 3.89747615e-12  3.89747615e-12  4.67697138e-02  1.20235435e+00  2.74659225e-04 
 4.07051564e-12  4.07051564e-12  4.88461877e-02  1.20240439e+00  2.80397367e-04 
 4.24590031e-12  4.24590031e-12  5.09508037e-02  1.20245243e+00  2.85902954e-04 
 4.42460192e-12  4.42460192e-12  5.30952230e-02  1.20249872e+00  2.91206609e-04 
 4.60604363e-12  4.60604363e-12  5.52725235e-02  1.20254311e+00  2.96290602e-04 
 4.79094037e-12  4.79094037e-12  5.74912844e-02  1.20258577e+00  3.01174410e-04 
 4.97887696e-12  4.97887696e-12  5.97465235e-02  1.20262658e+00  3.05846121e-04 
 5.17040529e-12  5.17040529e-12  6.20448635e-02  1.20266565e+00  3.10318583e-04 
 5.36525791e-12  5.36525791e-12  6.43830949e-02  1.20270290e+00  3.14584377e-04 
 5.56388692e-12  5.56388692e-12  6.67666430e-02  1.20273839e+00  3.18652197e-04 
 5.76614524e-12  5.76614524e-12  6.91937429e-02  1.20277208e+00  3.22517510e-04 
 5.97241953e-12  5.97241953e-12  7.16690344e-02  1.20280398e+00  3.26186038e-04 
 6.18265795e-12  6.18265795e-12  7.41918954e-02  1.20283406e+00  3.29654831e-04 
 6.39720643e-12  6.39720643e-12  7.67664772e-02  1.20286233e+00  3.32927306e-04 
 6.61609175e-12  6.61609175e-12  7.93931010e-02  1.20288874e+00  3.36001150e-04 
 6.83964001e-12  6.83964001e-12  8.20756801e-02  1.20291328e+00  3.38877827e-04 
 7.06794752e-12  7.06794752e-12  8.48153702e-02  1.20293589e+00  3.41554923e-04 
 7.30133941e-12  7.30133941e-12  8.76160730e-02  1.20295653e+00  3.44032042e-04 
 7.53997890e-12  7.53997890e-12  9.04797468e-02  1.20297514e+00  3.46306009e-04 
 7.78420869e-12  7.78420869e-12  9.34105043e-02  1.20299165e+00  3.48374412e-04 
 8.03426271e-12  8.03426271e-12  9.64111525e-02  1.20300596e+00  3.50232620e-04 
 8.29052197e-12  8.29052197e-12  9.94862637e-02  1.20301796e+00  3.51875786e-04 
