Vg Cgg_1kHz Cgg_10kHz Cgg_100kHz Cgg_1MHz Cgb_1MHz Cgs_1MHz Cgd_1MHz
-0.8 1.28344E-14 1.28344E-14 1.28344E-14 1.28344E-14 -7.63432E-15 -2.60004E-15 -2.60003E-15
-0.75 1.23555E-14 1.23555E-14 1.23555E-14 1.23555E-14 -7.15542E-15 -2.60004E-15 -2.60003E-15
-0.7 1.18203E-14 1.18203E-14 1.18203E-14 1.18203E-14 -6.62019E-15 -2.60005E-15 -2.60003E-15
-0.65 1.12799E-14 1.12799E-14 1.12799E-14 1.12799E-14 -6.07986E-15 -2.60005E-15 -2.60003E-15
-0.6 1.07759E-14 1.07759E-14 1.07759E-14 1.07759E-14 -5.57584E-15 -2.60005E-15 -2.60003E-15
-0.55 1.03297E-14 1.03297E-14 1.03297E-14 1.03297E-14 -5.12957E-15 -2.60005E-15 -2.60003E-15
-0.5 9.94562E-15 9.94562E-15 9.94562E-15 9.94562E-15 -4.74553E-15 -2.60005E-15 -2.60003E-15
-0.45 9.61882E-15 9.61882E-15 9.61882E-15 9.61882E-15 -4.41873E-15 -2.60006E-15 -2.60003E-15
-0.4 9.34088E-15 9.34088E-15 9.34088E-15 9.34088E-15 -4.14078E-15 -2.60006E-15 -2.60003E-15
-0.35 9.10327E-15 9.10327E-15 9.10327E-15 9.10327E-15 -3.90317E-15 -2.60007E-15 -2.60003E-15
-0.3 8.89858E-15 8.89858E-15 8.89858E-15 8.89858E-15 -3.69846E-15 -2.60009E-15 -2.60004E-15
-0.25 8.72069E-15 8.72069E-15 8.72069E-15 8.72069E-15 -3.52055E-15 -2.60011E-15 -2.60004E-15
-0.2 8.56476E-15 8.56476E-15 8.56476E-15 8.56476E-15 -3.36457E-15 -2.60015E-15 -2.60004E-15
-0.15 8.42694E-15 8.42694E-15 8.42694E-15 8.42694E-15 -3.22668E-15 -2.60023E-15 -2.60004E-15
-0.1 8.30423E-15 8.30423E-15 8.30423E-15 8.30423E-15 -3.10382E-15 -2.60037E-15 -2.60004E-15
-0.05 8.19425E-15 8.19425E-15 8.19425E-15 8.19425E-15 -2.99357E-15 -2.60065E-15 -2.60004E-15
0 8.09518E-15 8.09518E-15 8.09518E-15 8.09518E-15 -2.89397E-15 -2.60117E-15 -2.60004E-15
0.05 8.00563E-15 8.00563E-15 8.00563E-15 8.00563E-15 -2.80344E-15 -2.60215E-15 -2.60004E-15
0.1 7.92472E-15 7.92472E-15 7.92472E-15 7.92472E-15 -2.72066E-15 -2.60402E-15 -2.60004E-15
0.15 7.85205E-15 7.85205E-15 7.85205E-15 7.85205E-15 -2.64449E-15 -2.60751E-15 -2.60005E-15
0.2 7.78793E-15 7.78793E-15 7.78793E-15 7.78793E-15 -2.57388E-15 -2.614E-15 -2.60005E-15
0.25 7.73364E-15 7.73364E-15 7.73364E-15 7.73364E-15 -2.50772E-15 -2.62586E-15 -2.60006E-15
0.3 7.69215E-15 7.69215E-15 7.69215E-15 7.69215E-15 -2.44464E-15 -2.64743E-15 -2.60007E-15
0.35 7.66978E-15 7.66978E-15 7.66978E-15 7.66978E-15 -2.38281E-15 -2.68687E-15 -2.6001E-15
0.4 7.67953E-15 7.67953E-15 7.67953E-15 7.67953E-15 -2.31967E-15 -2.75972E-15 -2.60014E-15
0.45 7.74597E-15 7.74597E-15 7.74597E-15 7.74597E-15 -2.25164E-15 -2.8941E-15 -2.60023E-15
0.5 7.91026E-15 7.91026E-15 7.91026E-15 7.91026E-15 -2.1741E-15 -3.13574E-15 -2.60042E-15
0.55 8.23014E-15 8.23014E-15 8.23014E-15 8.23014E-15 -2.08264E-15 -3.54662E-15 -2.60088E-15
0.6 8.76111E-15 8.76111E-15 8.76111E-15 8.76111E-15 -1.97721E-15 -4.18168E-15 -2.60222E-15
0.65 9.50538E-15 9.50538E-15 9.50538E-15 9.50538E-15 -1.86761E-15 -5.0314E-15 -2.60637E-15
0.7 1.03618E-14 1.03618E-14 1.03618E-14 1.03618E-14 -1.77217E-15 -5.97247E-15 -2.61721E-15
0.75 1.11646E-14 1.11646E-14 1.11646E-14 1.11646E-14 -1.70539E-15 -6.8238E-15 -2.63545E-15
0.8 1.17971E-14 1.17971E-14 1.17971E-14 1.17971E-14 -1.66837E-15 -7.47393E-15 -2.65477E-15
0.85 1.22397E-14 1.22397E-14 1.22397E-14 1.22397E-14 -1.65304E-15 -7.91661E-15 -2.67E-15
0.9 1.25307E-14 1.25307E-14 1.25307E-14 1.25307E-14 -1.65036E-15 -8.1994E-15 -2.68094E-15
0.95 1.27191E-14 1.27191E-14 1.27191E-14 1.27191E-14 -1.65392E-15 -8.37612E-15 -2.68906E-15
1 1.28434E-14 1.28434E-14 1.28434E-14 1.28434E-14 -1.66005E-15 -8.48786E-15 -2.69552E-15
1.05 1.29291E-14 1.29291E-14 1.29291E-14 1.29291E-14 -1.6669E-15 -8.56128E-15 -2.70091E-15
1.1 1.29915E-14 1.29915E-14 1.29915E-14 1.29915E-14 -1.67359E-15 -8.61232E-15 -2.70556E-15
1.15 1.30396E-14 1.30396E-14 1.30396E-14 1.30396E-14 -1.67978E-15 -8.65015E-15 -2.70965E-15
1.2 1.30786E-14 1.30786E-14 1.30786E-14 1.30786E-14 -1.68537E-15 -8.67996E-15 -2.71329E-15
