 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  8.64985397e-07  1.52009661e-08 
 1.00000000e-14  1.00000000e-14  4.01773169e-04  4.25744175e-06 
 1.00258327e-14  1.00258327e-14  4.02808913e-04  4.26846279e-06 
 1.00774980e-14  1.00774980e-14  4.04880623e-04  4.29052440e-06 
 1.01808286e-14  1.01808286e-14  4.09025102e-04  4.33461422e-06 
 1.03874899e-14  1.03874899e-14  4.17318428e-04  4.42265865e-06 
 1.08008124e-14  1.08008124e-14  4.33922592e-04  4.59822573e-06 
 1.16274574e-14  1.16274574e-14  4.67200482e-04  4.94743593e-06 
 1.32807474e-14  1.32807474e-14  5.34030858e-04  5.63924857e-06 
 1.65873275e-14  1.65873275e-14  6.68769615e-04  7.00253056e-06 
 2.32004877e-14  2.32004877e-14  9.42473904e-04  9.67421539e-06 
 3.57761843e-14  3.57761843e-14  1.47828139e-03  1.46294655e-05 
 5.13504438e-14  5.13504438e-14  2.16950916e-03  2.06154987e-05 
 6.93990650e-14  6.93990650e-14  3.00870483e-03  2.74107043e-05 
 8.62920541e-14  8.62920541e-14  3.83117846e-03  3.36730967e-05 
 1.05291175e-13  1.05291175e-13  4.79883447e-03  4.06391006e-05 
 1.24032934e-13  1.24032934e-13  5.79749643e-03  4.74538829e-05 
 1.45349540e-13  1.45349540e-13  6.98646240e-03  5.51561369e-05 
 1.67393409e-13  1.67393409e-13  8.27526066e-03  6.30795231e-05 
 1.92574117e-13  1.92574117e-13  9.82094975e-03  7.20893147e-05 
 2.18004039e-13  2.18004039e-13  1.14612134e-02  8.11497907e-05 
 2.43945926e-13  2.43945926e-13  1.32162932e-02  9.03568126e-05 
 2.69705792e-13  2.69705792e-13  1.50404983e-02  9.94655163e-05 
 2.95658703e-13  2.95658703e-13  1.69601283e-02  1.08609781e-04 
 3.21526551e-13  3.21526551e-13  1.89548052e-02  1.17691973e-04 
 3.47597018e-13  3.47597018e-13  2.10469393e-02  1.26813257e-04 
 3.73675083e-13  3.73675083e-13  2.32215359e-02  1.35905105e-04 
 3.99955291e-13  3.99955291e-13  2.54954602e-02  1.45035062e-04 
 4.26292128e-13  4.26292128e-13  2.78569857e-02  1.54152065e-04 
 4.52822542e-13  4.52822542e-13  3.03192054e-02  1.63303089e-04 
 4.79442901e-13  4.79442901e-13  3.28734614e-02  1.72451814e-04 
 5.06252997e-13  5.06252997e-13  3.55302603e-02  1.81632044e-04 
 5.33180760e-13  5.33180760e-13  3.82835120e-02  1.90818514e-04 
 5.60299814e-13  5.60299814e-13  4.11417923e-02  2.00035829e-04 
 5.87560660e-13  5.87560660e-13  4.41010358e-02  2.09266591e-04 
 6.15018079e-13  6.15018079e-13  4.71683544e-02  2.18528843e-04 
 6.42638646e-13  6.42638646e-13  5.03412702e-02  2.27810775e-04 
 6.70463613e-13  6.70463613e-13  5.36258040e-02  2.37125779e-04 
 6.98471054e-13  6.98471054e-13  5.70207303e-02  2.46466037e-04 
